d,o,h,l,c,v,a,mc,s,m,rs
2026-01-02,48450.0,48750.0,45400.0,47750.0,875506.0,40862181250.0,1127890860250.0,23620751,KOSPI,tradable_ohlcv
2026-01-05,48350.0,49250.0,45800.0,47350.0,474275.0,22218264325.0,1118442559850.0,23620751,KOSPI,tradable_ohlcv
2026-01-06,46450.0,46850.0,44750.0,46100.0,545780.0,24930166150.0,1088916621100.0,23620751,KOSPI,tradable_ohlcv
2026-01-07,46700.0,48900.0,45950.0,48750.0,709991.0,33806343400.0,1151511611250.0,23620751,KOSPI,tradable_ohlcv
2026-01-08,47250.0,51000.0,47100.0,47600.0,451263.0,22201903400.0,1124347747600.0,23620751,KOSPI,tradable_ohlcv
2026-01-09,46300.0,48300.0,45650.0,46650.0,250242.0,11734605150.0,1101908034150.0,23620751,KOSPI,tradable_ohlcv
2026-01-12,47400.0,50300.0,47300.0,49900.0,466895.0,22920248900.0,1178675474900.0,23620751,KOSPI,tradable_ohlcv
2026-01-13,51000.0,51400.0,48400.0,49550.0,319994.0,15871025100.0,1170408212050.0,23620751,KOSPI,tradable_ohlcv
2026-01-14,49300.0,52200.0,48900.0,51800.0,325382.0,16740653300.0,1223554901800.0,23620751,KOSPI,tradable_ohlcv
2026-01-15,52700.0,60900.0,52200.0,60500.0,1209913.0,70979672850.0,1429055435500.0,23620751,KOSPI,tradable_ohlcv
2026-01-16,59300.0,64500.0,59000.0,62400.0,499962.0,31226459950.0,1473934862400.0,23620751,KOSPI,tradable_ohlcv
2026-01-19,61700.0,64300.0,60500.0,62500.0,387997.0,24276489700.0,1476296937500.0,23620751,KOSPI,tradable_ohlcv
2026-01-20,62500.0,63500.0,59200.0,60300.0,636301.0,38486991250.0,1424331285300.0,23620751,KOSPI,tradable_ohlcv
2026-01-21,58500.0,64000.0,57700.0,60700.0,651771.0,39987157000.0,1433779585700.0,23620751,KOSPI,tradable_ohlcv
2026-01-22,62600.0,65800.0,60400.0,63900.0,558499.0,35555376900.0,1509365988900.0,23620751,KOSPI,tradable_ohlcv
2026-01-23,63500.0,65000.0,62100.0,63600.0,263352.0,16732855500.0,1502279763600.0,23620751,KOSPI,tradable_ohlcv
2026-01-26,64400.0,69000.0,60500.0,65600.0,344396.0,22828368550.0,1549521265600.0,23620751,KOSPI,tradable_ohlcv
