snapshot_date,previous_market_trade_date,code,name,name_resolution_status,name_candidates,market,prev_symbol_trade_date,days_since_prev_symbol_trade,prev_close,open,high,low,close,volume,amount,market_cap,listed_shares,open_gap_pct,high_return_pct,low_return_pct,close_return_pct,turnover_pct,return_3d_pct,return_5d_pct,return_10d_pct,return_20d_pct,amount_rank,turnover_rank,market_cap_rank,high_return_rank,close_return_rank,limit_up_price,upper_limit_touched,upper_limit_closed,upper_limit_released,one_price_upper_limit,upper_limit_label_status,upper_limit_touch_count_5d,upper_limit_close_count_5d,high_return_ge_10_count_5d,high_return_ge_20_count_5d,corporate_action_warning,new_listing_or_no_reference,data_quality_status,max_source_date
2022-08-22,2022-08-19,253590,네오셈,exact_source_row,,KOSDAQ,2022-08-19,3,3475,3415,3440,3360,3365,107479,363070475,129399816490,38454626,-1.726619,-1.007194,-3.309353,-3.165468,0.279496,-2.180233,-1.608187,-3.443329,-3.443329,1558,1499,1298,2164,1717,4515,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,253840,수젠텍,exact_source_row,,KOSDAQ,2022-08-19,3,12800,12550,12750,12350,12400,168165,2102110850,201361231600,16238809,-1.953125,-0.390625,-3.515625,-3.125,1.035575,-10.144928,-12.676056,-12.676056,-22.981366,663,522,935,1650,1697,16600,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,254120,자비스,exact_source_row,,KOSDAQ,2022-08-19,3,1905,1900,1900,1850,1870,84821,158545615,41480745790,22182217,-0.262467,-0.262467,-2.887139,-1.83727,0.382383,-1.058201,0.268097,-0.266667,9.677419,1973,1236,2221,1520,1039,2475,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,255220,SG,exact_source_row,,KOSDAQ,2022-08-19,3,1670,1645,1670,1575,1635,457776,739539390,73177186515,44756689,-1.497006,0,-5.688623,-2.095808,1.02281,-5.491329,-6.837607,1.869159,-2.678571,1143,531,1855,1289,1167,2170,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,255440,야스,exact_source_row,,KOSDAQ,2022-08-19,3,9640,9630,9630,9440,9460,3497,33175780,123528680000,13058000,-0.103734,-0.103734,-2.074689,-1.86722,0.026781,0.318134,0.211864,-1.25261,-1.149425,2319,2371,1327,1351,1057,12500,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,256150,한독크린텍,exact_source_row,,KOSDAQ,2022-08-19,3,10550,10550,10550,10300,10350,24211,250934000,86888250000,8395000,0,0,-2.369668,-1.895735,0.288398,-4.166667,-3.72093,-5.479452,-1.428571,1772,1467,1693,1290,1069,13700,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,256630,포인트엔지니어링,exact_source_row,,KOSDAQ,2022-08-19,3,2590,2545,2570,2525,2555,14118,35826630,147942987710,57903322,-1.737452,-0.772201,-2.509653,-1.351351,0.024382,-2.10728,-0.195312,-3.947368,-1.919386,2313,2376,1171,1995,826,3365,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,256840,한국비엔씨,exact_source_row,,KOSDAQ,2022-08-19,3,10350,10050,10300,9910,10050,854211,8605981720,679204004400,67582488,-2.898551,-0.483092,-4.251208,-2.898551,1.263953,-2.898551,-9.865471,-12.608696,-17.959184,262,432,344,1752,1580,13450,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,256940,케이피에스,exact_source_row,,KOSDAQ,2022-08-19,3,6790,6790,7210,6580,6660,110326,761698020,124866062280,18748658,0,6.185567,-3.092784,-1.91458,0.588447,9.90099,4.88189,5.714286,5.379747,1127,885,1323,102,1077,8820,false,false,false,false,verified_normal_day,0,0,1,1,false,false,clean,2022-08-22
2022-08-22,2022-08-19,257720,실리콘투,exact_source_row,,KOSDAQ,2022-08-19,3,2770,2715,2770,2650,2655,1654082,4465018545,159770556270,60177234,-1.98556,0,-4.33213,-4.151625,2.748684,-3.454545,0.759013,-4.151625,-39.727582,425,223,1103,1291,2100,3600,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
