d,o,h,l,c,v,a,mc,s,m
2024-01-02,57200.0,58600.0,56600.0,58000.0,93555.0,5372754800.0,4985303116000.0,85953502,KOSPI
2024-01-03,57600.0,58600.0,56800.0,56900.0,98689.0,5672397800.0,4890754263800.0,85953502,KOSPI
2024-01-04,56700.0,56700.0,54200.0,55000.0,91023.0,5030845600.0,4727442610000.0,85953502,KOSPI
2024-01-05,54700.0,56400.0,54200.0,55500.0,51198.0,2845620800.0,4770419361000.0,85953502,KOSPI
2024-01-08,56200.0,58400.0,55600.0,57800.0,87635.0,5065870300.0,4968112415600.0,85953502,KOSPI
2024-01-09,59000.0,59300.0,57800.0,58400.0,72977.0,4289185200.0,5019684516800.0,85953502,KOSPI
2024-01-10,58300.0,59200.0,57800.0,58500.0,55563.0,3264373300.0,5028279867000.0,85953502,KOSPI
2024-01-11,59300.0,60200.0,58600.0,58900.0,116574.0,6912276700.0,5062661267800.0,85953502,KOSPI
2024-01-12,59000.0,59000.0,57600.0,58100.0,49846.0,2900896000.0,4993898466200.0,85953502,KOSPI
2024-01-15,58200.0,59000.0,57600.0,58000.0,43801.0,2556360400.0,4985303116000.0,85953502,KOSPI
2024-01-16,57300.0,58300.0,56000.0,56000.0,67541.0,3819539500.0,4813396112000.0,85953502,KOSPI
2024-01-17,56000.0,56900.0,54700.0,55000.0,68814.0,3821369600.0,4727442610000.0,85953502,KOSPI
2024-01-18,55300.0,56800.0,54500.0,56000.0,75367.0,4209280900.0,4813396112000.0,85953502,KOSPI
2024-01-19,56000.0,57200.0,55700.0,55900.0,49307.0,2772831900.0,4804800761800.0,85953502,KOSPI
2024-01-22,56500.0,57600.0,55200.0,55500.0,73936.0,4131332600.0,4770419361000.0,85953502,KOSPI
2024-01-23,56300.0,57400.0,55000.0,57100.0,115573.0,6502479900.0,4907944964200.0,85953502,KOSPI
2024-01-24,58300.0,58300.0,56200.0,57200.0,63672.0,3639295100.0,4916540314400.0,85953502,KOSPI
