snapshot_date,previous_market_trade_date,code,name,name_resolution_status,name_candidates,market,prev_symbol_trade_date,days_since_prev_symbol_trade,prev_close,open,high,low,close,volume,amount,market_cap,listed_shares,open_gap_pct,high_return_pct,low_return_pct,close_return_pct,turnover_pct,return_3d_pct,return_5d_pct,return_10d_pct,return_20d_pct,amount_rank,turnover_rank,market_cap_rank,high_return_rank,close_return_rank,limit_up_price,upper_limit_touched,upper_limit_closed,upper_limit_released,one_price_upper_limit,upper_limit_label_status,upper_limit_touch_count_5d,upper_limit_close_count_5d,high_return_ge_10_count_5d,high_return_ge_20_count_5d,corporate_action_warning,new_listing_or_no_reference,data_quality_status,max_source_date
2021-01-27,2021-01-26,000020,동화약품,exact_source_row,,KOSPI,2021-01-26,1,16700,16700,16850,16300,16350,231488,3823631950,456679534500,27931470,0,0.898204,-2.39521,-2.095808,0.828771,-0.304878,-3.254438,-9.166667,-12.33244,890,1348,483,1569,1743,21700,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2021-01-27
2021-01-27,2021-01-26,000040,KR모터스,exact_source_row,,KOSPI,2021-01-26,1,1005,1010,1015,998,1005,711735,713030582,92119323090,91661018,0.497512,0.995025,-0.696517,0,0.776486,-2.427184,-1.95122,-8.636364,-2.898551,1687,1396,1611,1480,727,1305,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2021-01-27
2021-01-27,2021-01-26,000050,경방,exact_source_row,,KOSPI,2021-01-26,1,12800,12800,13200,12700,13100,45663,593154600,359140037000,27415270,0,3.125,-0.78125,2.34375,0.16656,1.945525,-1.503759,0.383142,8.264463,1750,2135,599,556,244,16600,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2021-01-27
2021-01-27,2021-01-26,000060,메리츠화재,exact_source_row,,KOSPI,2021-01-26,1,15950,15900,16200,15750,16000,447317,7154866850,1930000000000,120625000,-0.31348,1.567398,-1.253918,0.31348,0.370833,5.263158,8.108108,10.726644,-2.439024,633,1889,152,1079,632,20700,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2021-01-27
2021-01-27,2021-01-26,000070,삼양홀딩스,exact_source_row,,KOSPI,2021-01-26,1,94800,118000,121500,101000,101500,353218,39540440300,869273506500,8564271,24.472574,28.164557,6.540084,7.067511,4.124321,10.687023,22.141998,31.818182,35.876841,163,373,277,19,62,123000,false,false,false,false,verified_normal_day,0,0,2,1,false,false,clean,2021-01-27
2021-01-27,2021-01-26,000075,삼양홀딩스우,exact_source_row,,KOSPI,2021-01-26,1,54500,69300,70800,68300,70800,53694,3739125400,21527306400,304058,27.155963,29.908257,25.321101,29.908257,17.659131,32.58427,40.19802,44.489796,40.755467,898,78,2189,7,6,70800,true,true,false,false,verified_normal_day,1,1,1,1,false,false,clean,2021-01-27
2021-01-27,2021-01-26,000080,하이트진로,exact_source_row,,KOSPI,2021-01-26,1,33700,33950,34200,33500,33600,357322,12071590000,2356489329600,70133611,0.74184,1.48368,-0.593472,-0.296736,0.509488,-3.586801,-0.444444,-5.352113,4.186047,442,1714,135,1131,945,43800,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2021-01-27
2021-01-27,2021-01-26,000087,하이트진로2우B,exact_source_row,,KOSPI,2021-01-26,1,21200,21000,21300,20800,21100,3510,73946150,23845911800,1130138,-0.943396,0.471698,-1.886792,-0.471698,0.310582,-1.401869,-0.236407,0.956938,1.199041,2180,1967,2181,1914,1038,27550,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2021-01-27
2021-01-27,2021-01-26,000088,한화3우B,exact_source_row,,KOSPI,2021-01-26,1,15900,16000,16100,15450,15700,209664,3300066750,352810400000,22472000,0.628931,1.257862,-2.830189,-1.257862,0.933001,3.97351,11.347518,15.018315,9.407666,956,1260,610,1281,1401,20650,false,false,false,false,verified_normal_day,0,0,1,0,false,false,clean,2021-01-27
2021-01-27,2021-01-26,000100,유한양행,exact_source_row,,KOSPI,2021-01-26,1,71400,72000,72600,70800,70900,434464,31034101100,4961082793100,69972959,0.840336,1.680672,-0.840336,-0.70028,0.620903,-2.071823,-3.668478,-5.087015,-7.441253,198,1558,63,1001,1147,92800,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2021-01-27
