d,o,h,l,c,v,a,mc,s,m,rs
2004-01-02,0.0,0.0,0.0,1720.0,0.0,0.0,2408000000.0,1400000,KOSDAQ,non_tradable_zero_volume
2004-01-05,1680.0,1750.0,1680.0,1735.0,63.0,106365.0,2429000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-06,1700.0,1795.0,1530.0,1530.0,1954.0,3231645.0,2142000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-07,1645.0,1650.0,1485.0,1650.0,1011.0,1565565.0,2310000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-08,1605.0,1605.0,1605.0,1605.0,15.0,24075.0,2247000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-09,1560.0,1675.0,1560.0,1675.0,92.0,145515.0,2345000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-12,1650.0,1675.0,1510.0,1520.0,1088.0,1714180.0,2128000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-13,1610.0,1610.0,1610.0,1610.0,1.0,1610.0,2254000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-14,1790.0,1790.0,1440.0,1730.0,649.0,1035430.0,2422000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-15,1790.0,1790.0,1525.0,1525.0,3485.0,5353250.0,2135000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-16,1685.0,1685.0,1500.0,1630.0,1031.0,1615585.0,2282000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-19,1515.0,1580.0,1505.0,1580.0,658.0,1023380.0,2212000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-20,1450.0,1565.0,1395.0,1400.0,4934.0,7103035.0,1960000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-26,1430.0,1430.0,1380.0,1415.0,1020.0,1412815.0,1981000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-27,1485.0,1550.0,1330.0,1500.0,121.0,164285.0,2100000000.0,1400000,KOSDAQ,tradable_ohlcv
2004-01-28,1500.0,1550.0,1410.0,1545.0,541.0,790235.0,2163000000.0,1400000,KOSDAQ,tradable_ohlcv
