d,o,h,l,c,v,a,mc,s,m,rs
2017-01-02,1685.0,1730.0,1670.0,1720.0,177821.0,303566035.0,62563085640.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-03,1720.0,1765.0,1700.0,1760.0,397328.0,691593505.0,64018041120.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-04,1770.0,1800.0,1745.0,1765.0,360349.0,637772825.0,64199910555.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-05,1785.0,1830.0,1750.0,1760.0,578589.0,1037857940.0,64018041120.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-06,1780.0,1780.0,1735.0,1755.0,199177.0,347720670.0,63836171685.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-09,1760.0,1760.0,1725.0,1725.0,150046.0,260387850.0,62744955075.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-10,1725.0,1755.0,1685.0,1755.0,1124904.0,1969131115.0,63836171685.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-11,1740.0,1790.0,1740.0,1780.0,299893.0,530850625.0,64745518860.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-12,1775.0,1805.0,1745.0,1745.0,230492.0,407747095.0,63472432815.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-13,1745.0,1760.0,1705.0,1725.0,183877.0,317502580.0,62744955075.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-16,1710.0,1740.0,1695.0,1700.0,217996.0,371932355.0,61835607900.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-17,1705.0,1720.0,1665.0,1685.0,246675.0,416645390.0,61289999595.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-18,1675.0,1695.0,1670.0,1680.0,112837.0,189822490.0,61108130160.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-19,1680.0,1700.0,1670.0,1680.0,138809.0,233579805.0,61108130160.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-20,1680.0,1690.0,1650.0,1685.0,150567.0,250483115.0,61289999595.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-23,1670.0,1695.0,1665.0,1670.0,99570.0,166897700.0,60744391290.0,36373887,KOSDAQ,tradable_ohlcv
2017-01-24,1655.0,1680.0,1645.0,1660.0,165389.0,275317835.0,60380652420.0,36373887,KOSDAQ,tradable_ohlcv
