d,o,h,l,c,v,a,mc,s,m,rs
2018-01-02,901.0,912.0,890.0,905.0,1233412.0,1104270244.0,81391584060.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-03,910.0,941.0,900.0,920.0,1661317.0,1526588612.0,82740615840.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-04,927.0,963.0,923.0,948.0,2443754.0,2307643326.0,85258808496.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-05,963.0,963.0,930.0,935.0,1054357.0,988503888.0,84089647620.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-08,938.0,990.0,930.0,985.0,3667792.0,3557518265.0,88586420220.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-09,983.0,983.0,940.0,948.0,1532531.0,1472809989.0,85258808496.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-10,946.0,955.0,933.0,942.0,797189.0,753057932.0,84719195784.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-11,935.0,941.0,908.0,915.0,1702726.0,1565698764.0,82290938580.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-12,914.0,920.0,897.0,901.0,1024599.0,929549323.0,81031842252.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-15,908.0,948.0,900.0,925.0,1160003.0,1070060867.0,83190293100.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-16,925.0,935.0,918.0,921.0,510087.0,470609720.0,82830551292.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-17,919.0,1095.0,912.0,981.0,36581824.0,37308082916.0,88226678412.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-18,1010.0,1110.0,994.0,1010.0,18450569.0,19316499784.0,90834806520.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-19,1025.0,1085.0,981.0,1080.0,13810836.0,14420477863.0,97130288160.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-22,1120.0,1230.0,1090.0,1105.0,22573177.0,26108264330.0,99378674460.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-23,1100.0,1155.0,1080.0,1100.0,8419873.0,9421909270.0,98928997200.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-24,1110.0,1130.0,1080.0,1090.0,4341289.0,4804735915.0,98029642680.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-25,1095.0,1125.0,1080.0,1090.0,4569593.0,5028610520.0,98029642680.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-26,1090.0,1120.0,1080.0,1105.0,3891014.0,4321780705.0,99378674460.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-29,1215.0,1290.0,1125.0,1125.0,22063555.0,26597813555.0,101177383500.0,89935452,KOSDAQ,tradable_ohlcv
2018-01-30,1110.0,1130.0,1085.0,1110.0,3833467.0,4233678295.0,99828351720.0,89935452,KOSDAQ,tradable_ohlcv
