d,o,h,l,c,v,a,mc,s,m
2017-01-02,8080.0,8180.0,8010.0,8080.0,25574.0,206559620.0,411111773600.0,50880170,KOSPI
2017-01-03,8080.0,8140.0,8050.0,8140.0,18134.0,146831810.0,414164583800.0,50880170,KOSPI
2017-01-04,8170.0,8170.0,8050.0,8080.0,24246.0,196068750.0,411111773600.0,50880170,KOSPI
2017-01-05,8150.0,8150.0,8050.0,8100.0,45686.0,369690250.0,412129377000.0,50880170,KOSPI
2017-01-06,8100.0,8110.0,8050.0,8100.0,20719.0,167452300.0,412129377000.0,50880170,KOSPI
2017-01-09,8190.0,8190.0,8040.0,8080.0,15785.0,128000420.0,411111773600.0,50880170,KOSPI
2017-01-10,8080.0,8140.0,8020.0,8140.0,17948.0,144811710.0,414164583800.0,50880170,KOSPI
2017-01-11,8150.0,8150.0,8060.0,8110.0,21054.0,170247910.0,412638178700.0,50880170,KOSPI
2017-01-12,8110.0,8120.0,8000.0,8050.0,24063.0,194040990.0,409585368500.0,50880170,KOSPI
2017-01-13,7960.0,8090.0,7960.0,8070.0,7370.0,59206730.0,410602971900.0,50880170,KOSPI
2017-01-16,8070.0,8100.0,8010.0,8100.0,25678.0,206885970.0,412129377000.0,50880170,KOSPI
2017-01-17,8100.0,8130.0,8010.0,8070.0,23785.0,191825690.0,410602971900.0,50880170,KOSPI
2017-01-18,8080.0,8080.0,7990.0,8000.0,19258.0,154526580.0,407041360000.0,50880170,KOSPI
2017-01-19,7990.0,8110.0,7980.0,8100.0,16504.0,132771940.0,412129377000.0,50880170,KOSPI
2017-01-20,8110.0,8120.0,7980.0,8030.0,34200.0,274257440.0,408567765100.0,50880170,KOSPI
2017-01-23,8030.0,8050.0,7900.0,7990.0,51070.0,407191590.0,406532558300.0,50880170,KOSPI
2017-01-24,8000.0,8010.0,7940.0,7990.0,19713.0,157271680.0,406532558300.0,50880170,KOSPI
2017-01-25,7990.0,8030.0,7940.0,8010.0,17850.0,142529980.0,407550161700.0,50880170,KOSPI
2017-01-26,8010.0,8020.0,7860.0,8000.0,26394.0,209485630.0,407041360000.0,50880170,KOSPI
2017-01-31,8000.0,8030.0,7810.0,8020.0,11881.0,94355520.0,408058963400.0,50880170,KOSPI
2017-02-01,8010.0,8040.0,7990.0,8040.0,9597.0,76881430.0,409076566800.0,50880170,KOSPI
2017-02-02,8040.0,8060.0,7950.0,8000.0,10780.0,86486560.0,407041360000.0,50880170,KOSPI
2017-02-03,8000.0,8050.0,7970.0,8020.0,20010.0,160057270.0,408058963400.0,50880170,KOSPI
2017-02-06,8020.0,8150.0,7960.0,7970.0,35099.0,281433620.0,405514954900.0,50880170,KOSPI
2017-02-07,7960.0,8020.0,7930.0,8000.0,10539.0,84017110.0,407041360000.0,50880170,KOSPI
2017-02-08,8000.0,8000.0,7940.0,8000.0,10307.0,82079460.0,407041360000.0,50880170,KOSPI
2017-02-09,8000.0,8040.0,7930.0,8030.0,15669.0,125080340.0,408567765100.0,50880170,KOSPI
2017-02-10,8010.0,8020.0,7930.0,8020.0,10845.0,86435290.0,408058963400.0,50880170,KOSPI
2017-02-13,7940.0,8020.0,7820.0,7920.0,39941.0,315997380.0,402970946400.0,50880170,KOSPI
