d,o,h,l,c,v,a,mc,s,m
1997-01-03,9600.0,10000.0,9600.0,9800.0,7780.0,75646800.0,77143355800.0,7871771,KOSPI
1997-01-04,9900.0,10000.0,9800.0,9800.0,18040.0,178069500.0,77143355800.0,7871771,KOSPI
1997-01-06,9800.0,9900.0,9700.0,9900.0,34900.0,342423300.0,77930532900.0,7871771,KOSPI
1997-01-07,9900.0,9900.0,9650.0,9650.0,103830.0,1016274000.0,75962590150.0,7871771,KOSPI
1997-01-08,9410.0,9750.0,8880.0,9400.0,53610.0,498426900.0,73994647400.0,7871771,KOSPI
1997-01-09,9400.0,9550.0,9000.0,9500.0,11240.0,105077000.0,74781824500.0,7871771,KOSPI
1997-01-10,9500.0,9800.0,9450.0,9800.0,42420.0,405466700.0,77143355800.0,7871771,KOSPI
1997-01-11,9950.0,10200.0,9710.0,10200.0,44270.0,444009400.0,80292064200.0,7871771,KOSPI
1997-01-13,10200.0,10200.0,9900.0,10000.0,44790.0,448283200.0,78717710000.0,7871771,KOSPI
1997-01-14,9740.0,10300.0,9740.0,10200.0,78670.0,795806200.0,80292064200.0,7871771,KOSPI
1997-01-15,10300.0,10300.0,10000.0,10300.0,82750.0,843146000.0,81079241300.0,7871771,KOSPI
1997-01-16,10300.0,11100.0,10100.0,11100.0,276890.0,3022376000.0,87376658100.0,7871771,KOSPI
1997-01-17,11200.0,11500.0,11000.0,11200.0,253440.0,2857449000.0,88163835200.0,7871771,KOSPI
1997-01-18,11100.0,11300.0,10900.0,10900.0,85660.0,950018000.0,85802303900.0,7871771,KOSPI
1997-01-20,11200.0,11700.0,11100.0,11700.0,165590.0,1931192000.0,92099720700.0,7871771,KOSPI
1997-01-21,12000.0,12200.0,11200.0,11200.0,346040.0,4078234000.0,88163835200.0,7871771,KOSPI
1997-01-22,11500.0,12000.0,11200.0,11600.0,435460.0,5064635000.0,91312543600.0,7871771,KOSPI
1997-01-23,11900.0,11900.0,11300.0,11300.0,218110.0,2536284000.0,88951012300.0,7871771,KOSPI
1997-01-24,11000.0,11600.0,10800.0,11400.0,209230.0,2375213000.0,89738189400.0,7871771,KOSPI
1997-01-25,11400.0,11800.0,10800.0,11200.0,90010.0,1035290000.0,88163835200.0,7871771,KOSPI
1997-01-27,11100.0,11200.0,10500.0,10600.0,60670.0,659280000.0,83440772600.0,7871771,KOSPI
1997-01-28,10400.0,11200.0,10400.0,10600.0,88290.0,949667000.0,83440772600.0,7871771,KOSPI
1997-01-29,10700.0,10900.0,10400.0,10500.0,87790.0,931693000.0,82653595500.0,7871771,KOSPI
1997-01-30,10600.0,11000.0,10600.0,10900.0,63270.0,684060000.0,85802303900.0,7871771,KOSPI
1997-01-31,11000.0,11100.0,10800.0,11100.0,75420.0,830689000.0,87376658100.0,7871771,KOSPI
1997-02-01,11100.0,11500.0,11100.0,11300.0,101140.0,1151464000.0,88951012300.0,7871771,KOSPI
1997-02-03,11300.0,12200.0,11300.0,12200.0,248740.0,2974286000.0,96035606200.0,7871771,KOSPI
1997-02-04,12700.0,13100.0,12600.0,13100.0,710560.0,9261303000.0,103120200100.0,7871771,KOSPI
1997-02-05,14100.0,14100.0,13900.0,14100.0,233460.0,3291134000.0,110991971100.0,7871771,KOSPI
1997-02-06,15000.0,15000.0,13000.0,13000.0,1156470.0,16276606000.0,102333023000.0,7871771,KOSPI
1997-02-10,13800.0,14000.0,13200.0,14000.0,483660.0,6596133000.0,110204794000.0,7871771,KOSPI
1997-02-11,14300.0,15000.0,13900.0,14400.0,535980.0,7779359000.0,113353502400.0,7871771,KOSPI
1997-02-12,14100.0,15200.0,13800.0,15200.0,403760.0,5814327000.0,119650919200.0,7871771,KOSPI
1997-02-13,14500.0,14800.0,14000.0,14000.0,521420.0,7443554000.0,110204794000.0,7871771,KOSPI
1997-02-14,13500.0,13800.0,12900.0,12900.0,361610.0,4764739000.0,101545845900.0,7871771,KOSPI
1997-02-15,13300.0,13400.0,12900.0,13000.0,232510.0,3049307000.0,102333023000.0,7871771,KOSPI
1997-02-17,12600.0,13300.0,12600.0,12800.0,176410.0,2294404000.0,100758668800.0,7871771,KOSPI
1997-02-18,12900.0,13300.0,12700.0,12800.0,172180.0,2228399000.0,100758668800.0,7871771,KOSPI
1997-02-19,12900.0,13200.0,12500.0,12600.0,120760.0,1538151000.0,99184314600.0,7871771,KOSPI
1997-02-20,12600.0,13400.0,12600.0,13100.0,277170.0,3629509000.0,103120200100.0,7871771,KOSPI
1997-02-21,13200.0,13300.0,12200.0,12200.0,95470.0,1223205000.0,96035606200.0,7871771,KOSPI
1997-02-22,12100.0,12100.0,11600.0,11600.0,79890.0,942146000.0,91312543600.0,7871771,KOSPI
1997-02-24,11700.0,12200.0,11700.0,12000.0,117550.0,1399644000.0,94461252000.0,7871771,KOSPI
1997-02-25,12200.0,12800.0,12000.0,12800.0,102920.0,1267610000.0,100758668800.0,7871771,KOSPI
1997-02-26,13000.0,13000.0,11900.0,12700.0,101090.0,1271684000.0,99971491700.0,7871771,KOSPI
1997-02-27,12500.0,12900.0,12200.0,12700.0,99660.0,1255391000.0,99971491700.0,7871771,KOSPI
1997-02-28,13000.0,13600.0,12900.0,13100.0,292070.0,3905390000.0,103120200100.0,7871771,KOSPI
1997-03-03,13100.0,13700.0,13100.0,13500.0,140820.0,1899980000.0,106268908500.0,7871771,KOSPI
1997-03-04,13500.0,14300.0,13500.0,14000.0,310940.0,4328940000.0,110204794000.0,7871771,KOSPI
1997-03-05,14100.0,15100.0,14000.0,14700.0,630420.0,9254120000.0,115715033700.0,7871771,KOSPI
1997-03-06,15000.0,15800.0,14000.0,14100.0,783140.0,11757556000.0,110991971100.0,7871771,KOSPI
1997-03-07,14500.0,14700.0,13500.0,13800.0,382430.0,5400447000.0,108630439800.0,7871771,KOSPI
1997-03-08,13700.0,14000.0,13000.0,13000.0,148900.0,2013848000.0,102333023000.0,7871771,KOSPI
1997-03-10,13200.0,13400.0,12900.0,12900.0,134520.0,1763451000.0,101545845900.0,7871771,KOSPI
1997-03-11,13100.0,13700.0,12900.0,13100.0,334980.0,4482851000.0,103120200100.0,7871771,KOSPI
1997-03-12,13100.0,13200.0,12500.0,13100.0,169190.0,2192251000.0,103120200100.0,7871771,KOSPI
1997-03-13,13300.0,13500.0,13000.0,13000.0,83650.0,1108039000.0,102333023000.0,7871771,KOSPI
1997-03-14,13000.0,13000.0,12100.0,12100.0,140730.0,1751254000.0,95248429100.0,7871771,KOSPI
1997-03-15,12300.0,12400.0,12000.0,12300.0,65840.0,807230000.0,96822783300.0,7871771,KOSPI
1997-03-17,12300.0,12700.0,12300.0,12700.0,56310.0,705862000.0,99971491700.0,7871771,KOSPI
1997-03-18,13000.0,13000.0,12300.0,12600.0,89990.0,1130194000.0,99184314600.0,7871771,KOSPI
1997-03-19,12500.0,13000.0,12200.0,12400.0,96520.0,1193446000.0,97609960400.0,7871771,KOSPI
1997-03-20,12400.0,12400.0,12000.0,12200.0,49460.0,599794000.0,96035606200.0,7871771,KOSPI
1997-03-21,12500.0,12500.0,11500.0,11600.0,53280.0,635292000.0,91312543600.0,7871771,KOSPI
