d,o,h,l,c,v,a,mc,s,m,rs
2001-01-02,2610.0,2920.0,2600.0,2735.0,232880.0,652073600.0,36829892900.0,13466140,KOSPI,tradable_ohlcv
2001-01-03,2700.0,2705.0,2620.0,2700.0,99150.0,263597900.0,36358578000.0,13466140,KOSPI,tradable_ohlcv
2001-01-04,2800.0,2830.0,2730.0,2750.0,131310.0,364535750.0,37031885000.0,13466140,KOSPI,tradable_ohlcv
2001-01-05,2710.0,2800.0,2705.0,2710.0,92680.0,253683350.0,36493239400.0,13466140,KOSPI,tradable_ohlcv
2001-01-08,2780.0,2780.0,2695.0,2700.0,113700.0,308860900.0,36358578000.0,13466140,KOSPI,tradable_ohlcv
2001-01-09,2720.0,3090.0,2700.0,2960.0,481030.0,1394518650.0,39859774400.0,13466140,KOSPI,tradable_ohlcv
2001-01-10,3000.0,3050.0,2730.0,2730.0,271810.0,791528550.0,36762562200.0,13466140,KOSPI,tradable_ohlcv
2001-01-11,2800.0,2865.0,2730.0,2760.0,131520.0,367887400.0,37166546400.0,13466140,KOSPI,tradable_ohlcv
2001-01-12,2810.0,2960.0,2810.0,2900.0,333150.0,965464750.0,39051806000.0,13466140,KOSPI,tradable_ohlcv
2001-01-15,2950.0,3290.0,2950.0,3190.0,436610.0,1373249700.0,42956986600.0,13466140,KOSPI,tradable_ohlcv
2001-01-16,3300.0,3480.0,2980.0,3025.0,544790.0,1786299800.0,40735073500.0,13466140,KOSPI,tradable_ohlcv
2001-01-17,3150.0,3150.0,2850.0,2920.0,205070.0,604197850.0,39321128800.0,13466140,KOSPI,tradable_ohlcv
2001-01-18,2880.0,3000.0,2825.0,2860.0,131690.0,378663250.0,38513160400.0,13466140,KOSPI,tradable_ohlcv
2001-01-19,2860.0,2950.0,2840.0,2860.0,184550.0,532081850.0,38513160400.0,13466140,KOSPI,tradable_ohlcv
2001-01-22,2920.0,2940.0,2835.0,2900.0,119400.0,344312800.0,39051806000.0,13466140,KOSPI,tradable_ohlcv
2001-01-26,2980.0,2980.0,2780.0,2780.0,147160.0,416982350.0,37435869200.0,13466140,KOSPI,tradable_ohlcv
2001-01-29,2800.0,2880.0,2800.0,2860.0,143980.0,408297500.0,38513160400.0,13466140,KOSPI,tradable_ohlcv
2001-01-30,2910.0,2980.0,2830.0,2865.0,166620.0,487512650.0,38580491100.0,13466140,KOSPI,tradable_ohlcv
2001-01-31,2930.0,3190.0,2900.0,3090.0,517870.0,1576566000.0,41610372600.0,13466140,KOSPI,tradable_ohlcv
2001-02-01,3020.0,3090.0,2975.0,3000.0,137170.0,413805850.0,40398420000.0,13466140,KOSPI,tradable_ohlcv
2001-02-02,3000.0,3390.0,3000.0,3220.0,448950.0,1439612100.0,43360970800.0,13466140,KOSPI,tradable_ohlcv
2001-02-05,3300.0,3380.0,3025.0,3110.0,269510.0,859166050.0,41879695400.0,13466140,KOSPI,tradable_ohlcv
2001-02-06,3200.0,3200.0,2980.0,2990.0,218620.0,664859300.0,40263758600.0,13466140,KOSPI,tradable_ohlcv
2001-02-07,3080.0,3120.0,2950.0,2950.0,156150.0,472187500.0,39725113000.0,13466140,KOSPI,tradable_ohlcv
2001-02-08,2950.0,3090.0,2950.0,3090.0,154660.0,464956150.0,41610372600.0,13466140,KOSPI,tradable_ohlcv
2001-02-09,3130.0,3160.0,3030.0,3040.0,137500.0,425647600.0,40937065600.0,13466140,KOSPI,tradable_ohlcv
2001-02-12,3050.0,3150.0,3020.0,3040.0,289780.0,896671500.0,40937065600.0,13466140,KOSPI,tradable_ohlcv
2001-02-13,3050.0,3100.0,2980.0,3100.0,202570.0,616775000.0,41745034000.0,13466140,KOSPI,tradable_ohlcv
2001-02-14,3150.0,3150.0,3050.0,3100.0,251030.0,781380650.0,41745034000.0,13466140,KOSPI,tradable_ohlcv
2001-02-15,3130.0,3230.0,3065.0,3065.0,319930.0,1010422200.0,41273719100.0,13466140,KOSPI,tradable_ohlcv
2001-02-16,3060.0,3090.0,3000.0,3040.0,139140.0,421617800.0,40937065600.0,13466140,KOSPI,tradable_ohlcv
2001-02-19,3000.0,3030.0,2950.0,3000.0,73440.0,219562850.0,40398420000.0,13466140,KOSPI,tradable_ohlcv
2001-02-20,3000.0,3100.0,2990.0,3070.0,105260.0,319137200.0,41341049800.0,13466140,KOSPI,tradable_ohlcv
2001-02-21,3040.0,3115.0,3020.0,3070.0,138760.0,424105000.0,41341049800.0,13466140,KOSPI,tradable_ohlcv
2001-02-22,3055.0,3230.0,3030.0,3100.0,234140.0,732177350.0,41745034000.0,13466140,KOSPI,tradable_ohlcv
2001-02-23,3150.0,3150.0,3050.0,3120.0,96150.0,299144150.0,42014356800.0,13466140,KOSPI,tradable_ohlcv
2001-02-26,3200.0,3530.0,3170.0,3410.0,705350.0,2381845350.0,45919537400.0,13466140,KOSPI,tradable_ohlcv
2001-02-27,3460.0,3460.0,3190.0,3200.0,295060.0,979989350.0,43091648000.0,13466140,KOSPI,tradable_ohlcv
2001-02-28,3180.0,3250.0,3110.0,3205.0,90390.0,288220400.0,43158978700.0,13466140,KOSPI,tradable_ohlcv
2001-03-02,3240.0,3240.0,2900.0,3000.0,146820.0,456215600.0,40398420000.0,13466140,KOSPI,tradable_ohlcv
2001-03-05,2900.0,3050.0,2900.0,2920.0,78460.0,229448050.0,39321128800.0,13466140,KOSPI,tradable_ohlcv
2001-03-06,2930.0,2980.0,2905.0,2975.0,91430.0,269129400.0,40061766500.0,13466140,KOSPI,tradable_ohlcv
2001-03-07,2990.0,3020.0,2880.0,2920.0,93140.0,274048100.0,39321128800.0,13466140,KOSPI,tradable_ohlcv
2001-03-08,2905.0,2990.0,2905.0,2960.0,69380.0,204882000.0,39859774400.0,13466140,KOSPI,tradable_ohlcv
2001-03-09,3010.0,3010.0,2935.0,2985.0,56280.0,166844450.0,40196427900.0,13466140,KOSPI,tradable_ohlcv
2001-03-12,2960.0,2985.0,2900.0,2900.0,64730.0,189757600.0,39051806000.0,13466140,KOSPI,tradable_ohlcv
2001-03-13,2800.0,2860.0,2730.0,2760.0,102240.0,286202450.0,37166546400.0,13466140,KOSPI,tradable_ohlcv
2001-03-14,2800.0,2840.0,2775.0,2800.0,69420.0,194545250.0,37705192000.0,13466140,KOSPI,tradable_ohlcv
2001-03-15,2700.0,2760.0,2690.0,2760.0,72210.0,196015450.0,37166546400.0,13466140,KOSPI,tradable_ohlcv
2001-03-16,2800.0,2800.0,2730.0,2730.0,71910.0,198305950.0,36762562200.0,13466140,KOSPI,tradable_ohlcv
2001-03-19,2725.0,2740.0,2650.0,2650.0,73510.0,197732600.0,35685271000.0,13466140,KOSPI,tradable_ohlcv
2001-03-20,2700.0,2740.0,2660.0,2700.0,65210.0,175097850.0,36358578000.0,13466140,KOSPI,tradable_ohlcv
2001-03-21,2670.0,2740.0,2660.0,2700.0,51520.0,138693800.0,36358578000.0,13466140,KOSPI,tradable_ohlcv
2001-03-22,2850.0,2850.0,2690.0,2690.0,65270.0,177794750.0,36223916600.0,13466140,KOSPI,tradable_ohlcv
2001-03-23,2700.0,2750.0,2675.0,2685.0,69660.0,187993850.0,36156585900.0,13466140,KOSPI,tradable_ohlcv
