code,current_or_latest_name,first_date,last_date,trading_day_count,raw_trading_day_count,markets,available_year_count,raw_available_year_count,latest_close,latest_marcap,status_inferred,profile_path
000099,IBKS제25호스팩,2025-12-19,2026-06-22,121,241,KOSDAQ,2,2,1994,13958000000,active_like,atlas/symbol_profiles/000/000099.json
000100,유한양행,1995-05-02,2026-06-22,7841,7846,KOSPI,32,32,73400,5846133913400,active_like,atlas/symbol_profiles/000/000100.json
000101,하나36호스팩,1996-02-02,2026-06-22,345,387,KOSDAQ|KOSPI,3,3,1999,15472260000,active_like,atlas/symbol_profiles/000/000101.json
000102,유한양행(2신),1996-05-02,1996-12-20,129,197,KOSPI,1,1,36600,12824640000,inactive_or_delisted_like,atlas/symbol_profiles/000/000102.json
000104,CJ4우(전환),2019-08-09,2026-06-22,1683,1683,KOSPI,8,8,159400,673706012800,active_like,atlas/symbol_profiles/000/000104.json
000105,유진스팩12호,1995-05-10,2026-06-22,6591,7973,KOSDAQ|KOSPI,32,32,60800,71801152000,active_like,atlas/symbol_profiles/000/000105.json
000106,유한양행(1우1신),1996-04-30,1996-12-26,64,197,KOSPI,1,1,12800,274828800,inactive_or_delisted_like,atlas/symbol_profiles/000/000106.json
000107,유한양행(2우B),1999-01-29,2003-12-26,920,1212,KOSPI,5,6,65000,767585000,inactive_or_delisted_like,atlas/symbol_profiles/000/000107.json
000110,제일은행,1995-05-02,1999-06-24,1176,2624,KOSPI,5,11,2645,846400000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000110.json
000115,삼성스팩13호,2026-01-21,2026-06-22,101,101,KOSDAQ,1,1,1997,14677950000,active_like,atlas/symbol_profiles/000/000115.json
000117,피스피스스튜디오,2026-06-08,2026-06-22,11,11,KOSDAQ,1,1,6600,93514812600,active_like,atlas/symbol_profiles/000/000117.json
000120,삼양바이오팜,1995-05-02,2026-06-22,7813,7986,KOSPI,32,32,76800,1751988019200,active_like,atlas/symbol_profiles/000/000120.json
000121,대한통운(1신),1995-05-02,1995-12-27,186,197,KOSPI,1,1,27000,71394426000,inactive_or_delisted_like,atlas/symbol_profiles/000/000121.json
000126,삼성에피스홀딩스,2025-11-24,2026-06-22,140,140,KOSPI,2,2,412500,10264257712500,active_like,atlas/symbol_profiles/000/000126.json
000129,신한제18호스팩,2026-04-30,2026-06-22,34,34,KOSDAQ,1,1,1985,11155700000,active_like,atlas/symbol_profiles/000/000129.json
000130,신한제17호스팩,1995-05-02,2026-06-22,1094,1192,KOSDAQ|KOSPI,5,6,2000,15400000000,active_like,atlas/symbol_profiles/000/000130.json
000131,키움히어로제2호스팩,2026-04-23,2026-06-22,39,39,KOSDAQ,1,1,1975,12462250000,active_like,atlas/symbol_profiles/000/000131.json
000132,교보20호스팩,2026-04-02,2026-06-22,54,54,KOSDAQ,1,1,1999,11934030000,active_like,atlas/symbol_profiles/000/000132.json
000134,대신밸런스제20호스팩,2026-06-05,2026-06-22,12,12,KOSDAQ,1,1,1980,13345200000,active_like,atlas/symbol_profiles/000/000134.json
000140,하이트진로홀딩스,1995-05-02,2026-06-22,7822,7846,KOSPI,32,32,7970,184957917050,active_like,atlas/symbol_profiles/000/000140.json
000141,조선맥주(1신),1995-08-08,1995-12-27,116,117,KOSPI,1,1,28500,55747767000,inactive_or_delisted_like,atlas/symbol_profiles/000/000141.json
000145,하이트진로홀딩스우,1995-05-02,2026-06-22,7597,7846,KOSPI,32,32,9420,4435030200,active_like,atlas/symbol_profiles/000/000145.json
000146,조선맥주(우선신),1995-08-09,1995-12-27,102,117,KOSPI,1,1,14000,1751022000,inactive_or_delisted_like,atlas/symbol_profiles/000/000146.json
000147,하이트맥주(2우B),2001-02-20,2001-02-21,2,735,KOSPI,1,4,54300,322466740200,inactive_or_delisted_like,atlas/symbol_profiles/000/000147.json
000149,하이트맥주(3우B),2000-01-11,2002-05-20,0,575,KOSPI,0,3,,,inactive_or_delisted_like,atlas/symbol_profiles/000/000149.json
000150,두산,1995-05-02,2026-06-22,7825,7846,KOSPI,32,32,1631000,26412144885000,active_like,atlas/symbol_profiles/000/000150.json
000155,두산우,1995-05-02,2026-06-22,7815,7846,KOSPI,32,32,534000,2134110708000,active_like,atlas/symbol_profiles/000/000155.json
000157,두산2우B,1999-12-03,2026-06-22,5901,6541,KOSPI,28,28,456000,407225328000,active_like,atlas/symbol_profiles/000/000157.json
