code,name,first_date,last_date
000145,하이트홀딩스(1우B),2008-07-30,2008-08-01
000145,하이트홀딩스우,2008-08-04,2012-04-09
000146,조선맥주(우선신),1995-08-08,1995-12-27
000147,하이트맥주(2우B),1998-08-17,2001-07-23
000149,하이트맥주(3우B),2000-01-11,2002-05-20
000150,동양맥주,1995-05-02,1996-04-18
000150,두산,1998-09-15,2026-02-20
000150,오비맥주,1996-04-19,1998-09-14
000155,동양맥주(1우),1995-05-02,1996-04-18
000155,두산(1우 ),2001-06-28,2001-07-04
000155,두산(1우),1998-09-15,2006-12-19
000155,두산(1우B),2006-12-20,2008-08-01
000155,두산우,2008-08-04,2026-02-20
000155,오비맥주(1우),1996-04-19,1998-09-14
000157,두산(2우B),1999-12-03,2008-08-01
000157,두산2우B,2008-08-04,2026-02-20
000160,대한중석,1995-05-02,1999-10-26
000161,대한중석(1신),1995-05-08,1997-12-27
000162,대한중석(2신),1995-06-10,1995-12-27
000170,LG금속,1997-05-19,1999-04-07
000170,엘지금속,1995-05-02,1997-05-17
000180,성창기업,1995-05-02,2009-01-20
000180,성창기업지주,2009-01-21,2026-02-20
000200,대우중공업,1995-05-02,2001-05-22
000205,대우중공업(1우),1995-05-02,2001-05-22
000210,DL,2021-01-25,2026-02-20
000210,대림산업,1995-05-02,2021-01-22
000211,대림산업(1신),1995-08-08,1995-12-27
000215,DL우,2021-01-25,2026-02-20
000215,대림산업(1우 ),2001-06-28,2001-07-04
000215,대림산업(1우),1995-05-02,2006-12-19
000215,대림산업(1우B),2006-12-20,2008-08-01
000215,대림산업우,2008-08-04,2021-01-22
000220,유유,2002-06-20,2008-06-24
000220,유유산업,1995-05-02,2002-06-19
000220,유유제약,2008-06-25,2026-02-20
000225,유유(1우),2002-06-20,2006-12-19
000225,유유(1우B),2006-12-20,2008-06-24
000225,유유산업(1우 ),2001-06-28,2001-07-04
000225,유유산업(1우),1995-05-02,2002-06-19
000225,유유제약(1우B),2008-06-25,2008-08-01
000225,유유제약1우,2008-08-04,2026-02-20
000227,유유(2우B),2002-06-20,2008-06-24
000227,유유산업(2우B),2000-06-20,2002-06-19
000227,유유제약(2우B),2008-06-25,2008-08-01
000227,유유제약2우B,2008-08-04,2026-02-20
000230,일동제약,1995-05-02,2016-08-30
000230,일동홀딩스,2016-08-31,2026-02-20
000231,일동제약(1신),1996-09-11,1997-03-28
000240,한국앤컴퍼니,2021-01-18,2026-02-20
000240,한국타이어,1995-05-02,2012-10-02
000240,한국타이어월드와이드,2012-10-04,2019-05-21
000240,한국테크놀로지그룹,2019-05-22,2021-01-15
000241,한국타이어(1신),1996-02-10,1996-12-27
000242,한국타이어(2신),1996-04-06,1996-12-27
000250,삼천당제약,2000-10-04,2026-02-20
000270,기 아 차,1996-11-25,2000-04-18
000270,기아,2021-04-05,2026-02-20
000270,기아자동차,1995-05-02,1996-11-22
000270,기아차,2000-04-19,2021-04-02
000279,아모레G3우(전환),2019-12-26,2025-04-24
000279,아모레퍼시픽홀딩스3우C,2025-04-25,2026-02-20
000280,동아건설,1995-05-02,2001-06-05
000281,동아건설(1신),1996-03-25,1996-12-27
000282,동아건설(2신),1996-09-09,1996-12-27
000300,DH오토넥스,2025-02-28,2026-02-20
000300,대유신소재,2008-07-15,2016-10-13
000300,대유엠텍,2006-03-21,2006-07-06
000300,대유플러스,2016-10-14,2025-02-27
000300,두레에어,1997-10-23,2005-04-14
000300,삼선공업,1995-05-02,1997-10-22
000300,성용HM,2005-04-15,2006-03-20
000300,엠앤에스,2006-07-07,2008-07-14
000301,두레에어(1신),1997-10-23,1998-03-28
000301,삼선공업(1신),1996-12-13,1997-03-28
000305,삼선공업(1우),1995-05-02,1997-10-22
000306,삼선공업(1우1신),1996-12-13,1997-03-28
000310,해태제과,1995-05-02,2001-11-09
000311,해태제과(1신),1995-05-02,1995-06-28
000315,해태제과(1우 ),2001-06-28,2001-07-04
000315,해태제과(1우),1995-05-02,2001-11-09
000317,해태제과(2우B),2000-01-11,2001-11-09
000320,노루홀딩스,2010-04-13,2026-02-20
000320,대한페인트,1995-05-02,2000-11-13
000320,디피아이,2000-11-14,2006-06-22
000320,디피아이홀딩스,2006-06-23,2010-04-12
000321,대한페인트(1신),1995-07-05,1995-12-27
000325,노루홀딩스우,2010-04-13,2026-02-20
000325,대한페인트(1우),1995-05-02,2000-11-13
000325,디피아이(1우 ),2001-06-28,2001-07-04
000325,디피아이(1우),2000-11-14,2006-06-22
000325,디피아이홀딩스(1우),2006-06-23,2006-12-19
000325,디피아이홀딩스(1우B),2006-12-20,2008-08-01
000325,디피아이홀딩스우,2008-08-04,2010-04-12
000327,노루홀딩스2우B,2010-04-13,2017-09-27
000327,디피아이홀딩스(2우B),2007-09-28,2008-08-01
000327,디피아이홀딩스2B,2008-08-04,2010-04-12
000330,두산백화,1996-04-17,1998-10-08
000330,백화,1995-05-02,1996-04-16
000331,두산백화(1신),1996-06-18,1996-12-27
000341,쌍용양회(4우B),2000-05-29,2008-08-01
000341,쌍용양회(5우B),2000-11-15,2008-08-01
000341,쌍용양회4우B,2008-08-04,2014-01-10
000341,쌍용양회5우B,2008-08-04,2014-01-10
000360,삼환기업,1995-05-02,2015-04-14
000365,삼환기업(1우 ),2001-06-28,2001-07-04
000365,삼환기업(1우),1995-05-02,2006-12-19
000365,삼환기업(1우B),2006-12-20,2008-08-01
000365,삼환기업우,2008-08-04,2015-04-14
000370,신동아화재,1995-05-02,2007-01-15
000370,한화손해보험,2007-01-16,2026-02-20
000380,대아건설,1996-07-01,2004-10-20
000390,삼화페인트,1995-05-02,2026-02-20
000400,대한화재,1995-05-02,2008-03-19
000400,롯데손해보험,2008-03-20,2026-02-20
000420,로케트전기,1995-05-02,2015-02-23
000425,로케트전기(1우 ),2001-06-28,2001-07-04
000425,로케트전기(1우),1995-05-02,2006-12-19
000425,로케트전기(1우B),2006-12-20,2008-08-01
000425,로케트전우,2008-08-04,2015-02-23
000430,대원강업,1995-05-02,2026-02-20
000431,대원강업(1신),1995-12-13,1995-12-27
000440,중앙석유,1997-01-03,2003-12-19
000440,중앙에너비스,1996-07-01,2026-02-20
000450,한주통산,1995-05-02,1998-11-17
000451,한주통산(1신),1995-09-07,1995-12-27
000470,국제화재,1995-05-02,2002-04-15
000470,그린손해보험,2008-07-04,2012-07-13
000470,그린화재보험,2002-04-16,2008-07-03
000475,국제화재(1우 ),2001-06-28,2001-07-04
000475,국제화재(1우),1995-05-02,2002-02-07
000480,CR홀딩스,2023-07-31,2026-02-20
000480,시알홀딩스,2023-07-28,2023-07-28
000480,조선내화,1995-05-02,2023-07-27
000481,조선내화(1신),1996-08-07,1996-12-27
000490,대동,2021-04-23,2026-02-20
000490,대동공업,1995-05-02,2021-04-22
000499,롯데지주우,2017-10-30,2026-02-20
000500,가온전선,2004-09-09,2026-02-20
000500,국제전선,1995-05-02,1996-04-15
000500,희성전선,1996-04-16,2004-09-08
000501,희성전선(1신),1996-11-30,1996-12-27
000510,태    화,1996-11-25,1999-05-24
000510,태화,1995-05-02,1996-11-22
000520,삼일제약,1995-05-02,2026-02-20
000530,대한제지,1996-07-01,1997-07-09
000540,쌍용화재,1995-05-02,2006-06-26
000540,흥국쌍용화재,2006-06-27,2009-03-23
000540,흥국화재,2009-03-24,2026-02-20
000545,쌍용화재(1우 ),2001-06-28,2001-07-04
000545,쌍용화재(1우),1995-05-02,2006-06-26
000545,흥국쌍용화재(1우),2006-06-27,2006-12-19
000545,흥국쌍용화재(1우B),2006-12-20,2008-08-01
000545,흥국쌍용화재우,2008-08-04,2009-03-23
000545,흥국화재우,2009-03-24,2026-02-20
000547,쌍용화재(2우B),1999-08-09,2006-06-26
000547,흥국쌍용화재(2우B),2006-06-27,2008-08-01
000547,흥국쌍용화재2우B,2008-08-04,2009-03-23
000547,흥국화재2우B,2009-03-24,2023-07-14
000550,삼덕제지,1996-07-01,1997-07-09
000570,금호건설,1995-05-02,1999-03-19
000575,금호건설(1우),1995-05-02,1999-03-19
000590,CS홀딩스,2010-01-27,2026-02-20
000590,조선선재,1995-05-02,2010-01-26
000600,삼화실업,1996-07-01,1996-12-27
000610,제일화재,1995-05-02,2010-01-19
000640,동아쏘시오홀딩스,2013-04-08,2026-02-20
000640,동아제약,1995-05-02,2013-04-05
000650,천일고속,1995-05-02,2026-02-20
000660,SK하이닉스,2012-04-17,2026-02-20
000660,하이닉스,2001-04-20,2012-04-16
000660,현대전자,1996-12-26,2001-04-19
000661,현대전자(1신),1996-12-26,1996-12-27
000670,영    풍,1996-11-25,2000-04-18
000670,영풍,1995-05-02,2026-02-20
000680,LS네트웍스,2008-02-21,2026-02-20
000680,국제상사,1995-05-02,2008-02-20
000680,미래에셋대우2우B,2018-03-14,2021-04-05
000680,미래에셋증권2우B,2021-04-06,2026-02-20
000681,국제상사(1신),1995-10-21,1995-12-27
000682,국제상사(2신),1995-12-21,1995-12-27
000685,LS네트웍스(1우B),2008-02-21,2008-08-01
000685,LS네트웍스우,2008-08-04,2014-07-14
000685,국제상사(1우 ),2001-06-28,2001-07-04
000685,국제상사(1우),1995-05-02,2006-12-19
000685,국제상사(1우B),2006-12-20,2008-02-20
000687,LS네트웍스전환상환2우B,2010-12-01,2015-11-25
