code,current_or_latest_name,first_date,last_date,trading_day_count,raw_trading_day_count,markets,available_year_count,raw_available_year_count,latest_close,latest_marcap,status_inferred,profile_path
010400,우진아이엔에스,2018-09-14,2026-06-22,1903,1903,KOSPI,9,9,3535,26943770000,active_like,atlas/symbol_profiles/010/010400.json
010470,오리콤,2000-10-24,2026-06-22,6301,6327,KOSDAQ,27,27,4790,57360489500,active_like,atlas/symbol_profiles/010/010470.json
010580,에스엠벡셀,1995-05-02,2026-06-22,7138,7846,KOSPI,31,32,1820,202478203200,active_like,atlas/symbol_profiles/010/010580.json
010640,진양폴리,1995-05-02,2026-06-22,7474,7846,KOSPI,32,32,1929,32214300000,active_like,atlas/symbol_profiles/010/010640.json
010660,화천기계,1995-05-02,2026-06-22,7830,7846,KOSPI,32,32,2840,62480000000,active_like,atlas/symbol_profiles/010/010660.json
010690,화신,1995-05-02,2026-06-22,7833,7846,KOSPI,32,32,12510,436854329100,active_like,atlas/symbol_profiles/010/010690.json
010770,평화홀딩스,1995-05-03,2026-06-22,7766,7846,KOSPI,32,32,3900,57039317400,active_like,atlas/symbol_profiles/010/010770.json
010780,아이에스동서,1995-05-02,2026-06-22,7786,7846,KOSPI,32,32,24250,732034168000,active_like,atlas/symbol_profiles/010/010780.json
010820,퍼스텍,1995-05-02,2026-06-22,7775,7846,KOSPI,32,32,6930,337989530340,active_like,atlas/symbol_profiles/010/010820.json
010950,S-Oil,1995-05-02,2026-06-22,7842,7846,KOSPI,32,32,107000,12046358744000,active_like,atlas/symbol_profiles/010/010950.json
010955,S-Oil우,1995-05-19,2026-06-22,7032,7846,KOSPI,32,32,53900,216781865300,active_like,atlas/symbol_profiles/010/010955.json
010960,삼호개발,2002-07-16,2026-06-22,5906,5906,KOSDAQ|KOSPI,25,25,3085,74410200000,active_like,atlas/symbol_profiles/010/010960.json
011000,진원생명과학,1995-05-02,2026-06-22,7697,7846,KOSPI,32,32,628,57074465596,active_like,atlas/symbol_profiles/011/011000.json
011040,경동제약,1996-07-24,2026-06-22,6820,7503,KOSDAQ,31,31,5000,153843830000,active_like,atlas/symbol_profiles/011/011040.json
011070,LG이노텍,2008-07-24,2026-06-22,4416,4416,KOSPI,19,19,1130000,26743830910000,active_like,atlas/symbol_profiles/011/011070.json
011080,형지I&C,2004-07-02,2026-06-22,5394,5423,KOSDAQ,23,23,2765,11879164430,active_like,atlas/symbol_profiles/011/011080.json
011090,에넥스,1995-07-10,2026-06-22,7747,7791,KOSPI,32,32,1402,16623589708,active_like,atlas/symbol_profiles/011/011090.json
011150,CJ씨푸드,1995-05-02,2026-06-22,7668,7846,KOSPI,32,32,1961,70460245853,active_like,atlas/symbol_profiles/011/011150.json
011155,CJ씨푸드1우,1995-05-03,2026-06-22,7285,7846,KOSPI,32,32,9470,1894000000,active_like,atlas/symbol_profiles/011/011155.json
011170,롯데케미칼,1995-05-02,2026-06-22,7845,7846,KOSPI,32,32,71600,3062720000400,active_like,atlas/symbol_profiles/011/011170.json
011200,HMM,1995-10-13,2026-06-22,7688,7720,KOSPI,32,32,19550,18440302313500,active_like,atlas/symbol_profiles/011/011200.json
011210,현대위아,2011-02-21,2026-06-22,3770,3770,KOSPI,16,16,69200,1881899743600,active_like,atlas/symbol_profiles/011/011210.json
011230,삼화전자,1995-05-03,2026-06-22,7665,7846,KOSPI,32,32,3275,62767945875,active_like,atlas/symbol_profiles/011/011230.json
011280,태림포장,1995-05-02,2026-06-22,7832,7846,KOSPI,32,32,1971,139558507740,active_like,atlas/symbol_profiles/011/011280.json
011300,우성머티리얼스,1996-01-03,2026-06-22,7344,7689,KOSPI,31,32,2235,37583923155,active_like,atlas/symbol_profiles/011/011300.json
011320,유니크,1996-07-19,2026-06-22,6731,7503,KOSDAQ,31,31,3915,75640520925,active_like,atlas/symbol_profiles/011/011320.json
011330,유니켐,1995-05-02,2026-06-11,7406,7846,KOSPI,32,32,396,35714383452,active_like,atlas/symbol_profiles/011/011330.json
011370,서한,1996-07-08,2026-06-22,6603,7503,KOSDAQ,31,31,814,82128420110,active_like,atlas/symbol_profiles/011/011370.json
011390,부산산업,1995-05-02,2026-06-22,7821,7846,KOSPI,32,32,46550,49156800000,active_like,atlas/symbol_profiles/011/011390.json
011420,갤럭시아에스엠,1995-05-02,2026-06-22,7819,7846,KOSPI,32,32,1440,39671487360,active_like,atlas/symbol_profiles/011/011420.json
011500,한농화성,2003-01-09,2026-06-22,5691,5934,KOSDAQ|KOSPI,24,25,15400,240810446800,active_like,atlas/symbol_profiles/011/011500.json
011560,세보엠이씨,1996-12-23,2026-06-22,6851,7360,KOSDAQ,31,31,21350,215312017200,active_like,atlas/symbol_profiles/011/011560.json
011690,와이투솔루션,1996-01-03,2026-06-22,7053,7654,KOSPI,30,32,3910,143514180540,active_like,atlas/symbol_profiles/011/011690.json
011700,한신기계,1995-05-02,2026-06-22,7836,7846,KOSPI,32,32,2745,89064684495,active_like,atlas/symbol_profiles/011/011700.json
011760,현대코퍼레이션,1995-05-02,2026-06-22,7801,7846,KOSPI,32,32,23700,313526494200,active_like,atlas/symbol_profiles/011/011760.json
011780,금호석유화학,1995-05-02,2026-06-22,7842,7846,KOSPI,32,32,120000,3018879000000,active_like,atlas/symbol_profiles/011/011780.json
011785,금호석유화학우,1995-05-02,2026-06-22,7832,7846,KOSPI,32,32,51000,154197786000,active_like,atlas/symbol_profiles/011/011785.json
011790,SKC,1997-07-18,2026-06-22,7186,7197,KOSPI,30,30,119600,5931956440800,active_like,atlas/symbol_profiles/011/011790.json
011810,STX,1995-05-02,2025-07-02,7161,7846,KOSPI,31,32,3530,109493282310,active_like,atlas/symbol_profiles/011/011810.json
011930,신성이엔지,1996-07-01,2026-06-22,7438,7503,KOSDAQ|KOSPI,31,31,20400,414246112800,active_like,atlas/symbol_profiles/011/011930.json
012030,DB,1995-05-02,2026-06-22,7779,7846,KOSPI,32,32,1886,379414037638,active_like,atlas/symbol_profiles/012/012030.json
012160,영흥,2010-01-25,2026-06-11,4016,4038,KOSPI,17,17,376,29366922392,active_like,atlas/symbol_profiles/012/012160.json
012170,아센디오,1995-05-02,2026-06-22,7270,7846,KOSPI,31,32,965,19541437210,active_like,atlas/symbol_profiles/012/012170.json
