d,o,h,l,c,v,a,mc,s,m
2022-01-03,37000.0,37500.0,35800.0,36000.0,125205.0,4545826100.0,339919920000.0,9442220,KOSDAQ
2022-01-04,35800.0,36550.0,35450.0,35750.0,87241.0,3122594700.0,337559365000.0,9442220,KOSDAQ
2022-01-05,35550.0,35600.0,33150.0,33500.0,248788.0,8430538150.0,316314370000.0,9442220,KOSDAQ
2022-01-06,32900.0,33050.0,31750.0,32150.0,169835.0,5491793400.0,303567373000.0,9442220,KOSDAQ
2022-01-07,32450.0,33600.0,32250.0,33250.0,73053.0,2420352650.0,313953815000.0,9442220,KOSDAQ
2022-01-10,32800.0,33200.0,31850.0,32050.0,76510.0,2455823150.0,302623151000.0,9442220,KOSDAQ
2022-01-11,31900.0,32350.0,31450.0,32000.0,57665.0,1835720850.0,302151040000.0,9442220,KOSDAQ
2022-01-12,32850.0,33500.0,32150.0,32600.0,112865.0,3688422800.0,307816372000.0,9442220,KOSDAQ
2022-01-13,32900.0,32900.0,31300.0,31500.0,76502.0,2425209300.0,297429930000.0,9442220,KOSDAQ
2022-01-14,30800.0,31250.0,30250.0,30500.0,114384.0,3499128600.0,287987710000.0,9442220,KOSDAQ
2022-01-17,30350.0,30650.0,29750.0,30000.0,84615.0,2551236200.0,283266600000.0,9442220,KOSDAQ
2022-01-18,29850.0,30850.0,29800.0,29800.0,58388.0,1759147300.0,281378156000.0,9442220,KOSDAQ
2022-01-19,29400.0,30050.0,28750.0,28750.0,108563.0,3176352050.0,271463825000.0,9442220,KOSDAQ
2022-01-20,28600.0,29450.0,28400.0,29400.0,64745.0,1872142750.0,277601268000.0,9442220,KOSDAQ
2022-01-21,29000.0,30750.0,28850.0,30050.0,80567.0,2415224800.0,283738711000.0,9442220,KOSDAQ
2022-01-24,30050.0,30050.0,27850.0,28150.0,95259.0,2716494350.0,265798493000.0,9442220,KOSDAQ
2022-01-25,28750.0,28750.0,26300.0,26500.0,128374.0,3475815450.0,250218830000.0,9442220,KOSDAQ
2022-01-26,26400.0,27200.0,25500.0,25600.0,89295.0,2339298950.0,241720832000.0,9442220,KOSDAQ
2022-01-27,25500.0,25800.0,23750.0,23900.0,137937.0,3357322700.0,225669058000.0,9442220,KOSDAQ
2022-01-28,24000.0,24950.0,23900.0,24700.0,77097.0,1888192450.0,233222834000.0,9442220,KOSDAQ
2022-02-03,25250.0,26100.0,25100.0,25550.0,73502.0,1888321550.0,241248721000.0,9442220,KOSDAQ
2022-02-04,25300.0,26400.0,25200.0,25700.0,74736.0,1928639600.0,242665054000.0,9442220,KOSDAQ
2022-02-07,26100.0,26200.0,25200.0,25650.0,40257.0,1025242900.0,242192943000.0,9442220,KOSDAQ
2022-02-08,25450.0,26200.0,25100.0,25450.0,52394.0,1342604850.0,240304499000.0,9442220,KOSDAQ
2022-02-09,25650.0,25750.0,25250.0,25300.0,58540.0,1489432400.0,238888166000.0,9442220,KOSDAQ
2022-02-10,25450.0,26400.0,25100.0,25100.0,96596.0,2480291200.0,236999722000.0,9442220,KOSDAQ
2022-02-11,25000.0,25400.0,24200.0,24450.0,60141.0,1480170100.0,230862279000.0,9442220,KOSDAQ
2022-02-14,24100.0,24250.0,22850.0,22950.0,108983.0,2537626000.0,216698949000.0,9442220,KOSDAQ
2022-02-15,22950.0,23700.0,22800.0,22950.0,65457.0,1515454800.0,216698949000.0,9442220,KOSDAQ
2022-02-16,23650.0,25150.0,23400.0,24750.0,88019.0,2146446600.0,233694945000.0,9442220,KOSDAQ
2022-02-17,24600.0,25750.0,24050.0,24600.0,120981.0,3017820400.0,232278612000.0,9442220,KOSDAQ
2022-02-18,24000.0,24900.0,23800.0,24750.0,42497.0,1038089550.0,233694945000.0,9442220,KOSDAQ
2022-02-21,24250.0,24900.0,23900.0,24700.0,36371.0,889595750.0,233222834000.0,9442220,KOSDAQ
2022-02-22,24050.0,26600.0,24050.0,25850.0,199087.0,5168870350.0,244081387000.0,9442220,KOSDAQ
2022-02-23,25900.0,26050.0,25500.0,25700.0,64146.0,1650094500.0,242665054000.0,9442220,KOSDAQ
2022-02-24,25600.0,26700.0,24600.0,24950.0,125206.0,3219502150.0,235583389000.0,9442220,KOSDAQ
2022-02-25,25200.0,25750.0,24600.0,24900.0,114909.0,2878731700.0,235111278000.0,9442220,KOSDAQ
2022-02-28,24900.0,25600.0,24600.0,25400.0,60029.0,1508958600.0,239832388000.0,9442220,KOSDAQ
2022-03-02,25150.0,27200.0,25150.0,26600.0,185575.0,4871710400.0,251163052000.0,9442220,KOSDAQ
2022-03-03,26300.0,26700.0,26100.0,26450.0,91942.0,2422864100.0,249746719000.0,9442220,KOSDAQ
2022-03-04,26650.0,27050.0,25650.0,25700.0,120948.0,3166742150.0,242665054000.0,9442220,KOSDAQ
2022-03-07,25700.0,25700.0,24500.0,24800.0,81910.0,2039049050.0,234167056000.0,9442220,KOSDAQ
2022-03-08,24200.0,25050.0,24050.0,24450.0,67996.0,1663388550.0,230862279000.0,9442220,KOSDAQ
2022-03-10,25100.0,25550.0,24750.0,25050.0,69950.0,1755614650.0,236527611000.0,9442220,KOSDAQ
2022-03-11,25000.0,28750.0,24850.0,28050.0,681767.0,18708662000.0,264854271000.0,9442220,KOSDAQ
2022-03-14,27700.0,28600.0,26850.0,27000.0,199697.0,5521051150.0,254939940000.0,9442220,KOSDAQ
2022-03-15,26700.0,27750.0,26600.0,27000.0,97062.0,2642499000.0,254939940000.0,9442220,KOSDAQ
2022-03-16,27200.0,27650.0,26500.0,27050.0,84780.0,2282562700.0,255412051000.0,9442220,KOSDAQ
2022-03-17,27300.0,27500.0,26800.0,27200.0,95032.0,2575007750.0,256828384000.0,9442220,KOSDAQ
2022-03-18,27600.0,30350.0,27400.0,28350.0,604071.0,17447686650.0,267686937000.0,9442220,KOSDAQ
2022-03-21,28700.0,28700.0,27550.0,27600.0,110617.0,3090797250.0,260605272000.0,9442220,KOSDAQ
2022-03-22,27500.0,27750.0,26900.0,27600.0,67061.0,1830409100.0,260605272000.0,9442220,KOSDAQ
2022-03-23,27750.0,28200.0,27400.0,27450.0,74994.0,2075908100.0,259188939000.0,9442220,KOSDAQ
2022-03-24,27200.0,27700.0,27000.0,27500.0,51870.0,1418780750.0,259661050000.0,9442220,KOSDAQ
2022-03-25,27700.0,28150.0,27250.0,27750.0,54774.0,1519381200.0,262021605000.0,9442220,KOSDAQ
2022-03-28,27950.0,28700.0,27300.0,27900.0,109803.0,3080574400.0,263437938000.0,9442220,KOSDAQ
2022-03-29,28050.0,30000.0,27650.0,29250.0,294431.0,8578442650.0,276184935000.0,9442220,KOSDAQ
2022-03-30,29300.0,29550.0,28650.0,28900.0,85562.0,2473659400.0,272880158000.0,9442220,KOSDAQ
2022-03-31,28900.0,29850.0,28700.0,29150.0,79201.0,2328019100.0,275240713000.0,9442220,KOSDAQ
2022-04-01,28850.0,30200.0,28500.0,29250.0,129227.0,3812492400.0,276184935000.0,9442220,KOSDAQ
2022-04-04,29450.0,30000.0,29050.0,29600.0,65362.0,1933334100.0,279489712000.0,9442220,KOSDAQ
2022-04-05,29550.0,29800.0,29050.0,29350.0,55214.0,1619932750.0,277129157000.0,9442220,KOSDAQ
2022-04-06,29050.0,29350.0,27850.0,28000.0,112408.0,3194098500.0,264382160000.0,9442220,KOSDAQ
2022-04-07,27650.0,28000.0,26600.0,27100.0,69568.0,1904450500.0,255884162000.0,9442220,KOSDAQ
2022-04-08,27250.0,27650.0,26800.0,27200.0,38637.0,1049414050.0,256828384000.0,9442220,KOSDAQ
2022-04-11,27100.0,27100.0,26050.0,26100.0,67009.0,1766666600.0,246441942000.0,9442220,KOSDAQ
2022-04-12,25850.0,26200.0,25200.0,25800.0,51084.0,1307263250.0,243609276000.0,9442220,KOSDAQ
2022-04-13,25800.0,26200.0,25650.0,26100.0,32134.0,833572200.0,246441942000.0,9442220,KOSDAQ
2022-04-14,26250.0,26850.0,25800.0,26000.0,42832.0,1124056550.0,245497720000.0,9442220,KOSDAQ
2022-04-15,25700.0,25950.0,24700.0,25300.0,72328.0,1828039100.0,238888166000.0,9442220,KOSDAQ
2022-04-18,25300.0,25300.0,24700.0,24800.0,27490.0,683860100.0,234167056000.0,9442220,KOSDAQ
2022-04-19,24800.0,25600.0,24800.0,25400.0,29266.0,740288950.0,239832388000.0,9442220,KOSDAQ
2022-04-20,25350.0,25350.0,24450.0,24600.0,60327.0,1496885300.0,232278612000.0,9442220,KOSDAQ
2022-04-21,24500.0,24850.0,24100.0,24350.0,51756.0,1262017650.0,229918057000.0,9442220,KOSDAQ
2022-04-22,24300.0,24350.0,23450.0,23800.0,50500.0,1200526450.0,226172114000.0,9503030,KOSDAQ
2022-04-25,23600.0,23750.0,23050.0,23150.0,51291.0,1193846600.0,219995144500.0,9503030,KOSDAQ
2022-04-26,23300.0,23650.0,23050.0,23250.0,50287.0,1169256550.0,220945447500.0,9503030,KOSDAQ
2022-04-27,22700.0,23250.0,22650.0,22650.0,54649.0,1246828600.0,215243629500.0,9503030,KOSDAQ
2022-04-28,22900.0,23650.0,22350.0,23350.0,57044.0,1314276200.0,221895750500.0,9503030,KOSDAQ
2022-04-29,23550.0,24250.0,23500.0,23900.0,33360.0,796158150.0,227122417000.0,9503030,KOSDAQ
2022-05-02,23400.0,23750.0,23350.0,23700.0,20261.0,476104200.0,225221811000.0,9503030,KOSDAQ
2022-05-03,23550.0,23800.0,23050.0,23150.0,45428.0,1056845300.0,219995144500.0,9503030,KOSDAQ
2022-05-04,23200.0,23400.0,22650.0,22850.0,28281.0,650290300.0,217144235500.0,9503030,KOSDAQ
2022-05-06,22600.0,22600.0,21800.0,21950.0,70238.0,1549390500.0,208591508500.0,9503030,KOSDAQ
2022-05-09,21500.0,21800.0,20750.0,21150.0,80686.0,1701487600.0,200989084500.0,9503030,KOSDAQ
2022-05-10,20700.0,20850.0,20000.0,20550.0,77134.0,1572062150.0,195287266500.0,9503030,KOSDAQ
2022-05-11,20950.0,21500.0,20650.0,21500.0,47849.0,1007287600.0,204315145000.0,9503030,KOSDAQ
2022-05-12,21050.0,21200.0,19950.0,19950.0,70926.0,1441620450.0,189585448500.0,9503030,KOSDAQ
2022-05-13,20350.0,20950.0,20050.0,20700.0,32603.0,665838900.0,196712721000.0,9503030,KOSDAQ
2022-05-16,21000.0,21250.0,20550.0,20900.0,27569.0,576473250.0,198613327000.0,9503030,KOSDAQ
2022-05-17,20700.0,21750.0,20700.0,21500.0,35050.0,749810200.0,204315145000.0,9503030,KOSDAQ
2022-05-18,21600.0,22150.0,21500.0,21950.0,33866.0,742064850.0,208591508500.0,9503030,KOSDAQ
2022-05-19,21200.0,21900.0,21050.0,21700.0,22072.0,472788050.0,206215751000.0,9503030,KOSDAQ
2022-05-20,21600.0,23150.0,21550.0,23000.0,84646.0,1918765250.0,218569690000.0,9503030,KOSDAQ
2022-05-23,23200.0,23750.0,23000.0,23400.0,78045.0,1827664400.0,222370902000.0,9503030,KOSDAQ
2022-05-24,23650.0,23650.0,22650.0,22750.0,29169.0,673098650.0,216193932500.0,9503030,KOSDAQ
2022-05-25,22800.0,23650.0,22600.0,23400.0,41609.0,967963700.0,222370902000.0,9503030,KOSDAQ
2022-05-26,25700.0,29400.0,25400.0,26150.0,2625009.0,71503288350.0,248504234500.0,9503030,KOSDAQ
2022-05-27,26250.0,26550.0,25450.0,25450.0,309813.0,8046058350.0,241852113500.0,9503030,KOSDAQ
2022-05-30,25800.0,25850.0,24600.0,25300.0,172955.0,4327478050.0,240426659000.0,9503030,KOSDAQ
2022-05-31,25100.0,25150.0,24600.0,24950.0,106956.0,2660968100.0,237100598500.0,9503030,KOSDAQ
2022-06-02,24850.0,25350.0,24700.0,24950.0,96401.0,2412597200.0,237100598500.0,9503030,KOSDAQ
2022-06-03,25000.0,25400.0,24900.0,25050.0,99146.0,2486996200.0,238050901500.0,9503030,KOSDAQ
2022-06-07,25000.0,25300.0,24150.0,24150.0,161298.0,3976780200.0,229498174500.0,9503030,KOSDAQ
2022-06-08,13250.0,15700.0,13200.0,13900.0,4146626.0,61242713750.0,132092117000.0,9503030,KOSDAQ
2022-06-09,14250.0,17450.0,14150.0,15900.0,5169563.0,83297793450.0,151098177000.0,9503030,KOSDAQ
2022-06-10,16200.0,17450.0,14350.0,14400.0,1556059.0,24119965950.0,136843632000.0,9503030,KOSDAQ
2022-06-13,14000.0,14000.0,12500.0,12500.0,552068.0,7213377850.0,118787875000.0,9503030,KOSDAQ
2022-06-14,12150.0,12300.0,11650.0,12050.0,282398.0,3391817000.0,114511511500.0,9503030,KOSDAQ
2022-06-15,11800.0,12000.0,10950.0,11050.0,307791.0,3489012900.0,105008481500.0,9503030,KOSDAQ
2022-06-16,11150.0,13350.0,11050.0,12600.0,1261158.0,15692830350.0,119738178000.0,9503030,KOSDAQ
2022-06-17,12050.0,13150.0,11900.0,12850.0,407236.0,5144089000.0,122113935500.0,9503030,KOSDAQ
2022-06-20,12750.0,13200.0,11850.0,12100.0,242037.0,3009482100.0,114986663000.0,9503030,KOSDAQ
2022-06-21,12050.0,13200.0,12050.0,12750.0,331164.0,4225375900.0,121163632500.0,9503030,KOSDAQ
2022-06-22,12600.0,12800.0,11550.0,11650.0,193433.0,2344650700.0,110710299500.0,9503030,KOSDAQ
2022-06-23,11600.0,11800.0,10450.0,10450.0,222432.0,2428655750.0,99306663500.0,9503030,KOSDAQ
2022-06-24,10600.0,11200.0,10600.0,10700.0,135327.0,1476117000.0,101682421000.0,9503030,KOSDAQ
2022-06-27,10850.0,11150.0,10550.0,11050.0,114124.0,1250150800.0,105008481500.0,9503030,KOSDAQ
2022-06-28,10750.0,11150.0,10550.0,10650.0,177634.0,1914410500.0,101207269500.0,9503030,KOSDAQ
2022-06-29,10450.0,10900.0,10400.0,10600.0,87656.0,931755000.0,100732118000.0,9503030,KOSDAQ
2022-06-30,10250.0,10400.0,9760.0,9800.0,452042.0,4541814520.0,186259388000.0,19006060,KOSDAQ
2022-07-01,9840.0,9850.0,8920.0,9040.0,431834.0,4009302470.0,171814782400.0,19006060,KOSDAQ
2022-07-04,8980.0,9090.0,8500.0,8630.0,204056.0,1789984850.0,164022297800.0,19006060,KOSDAQ
2022-07-05,8670.0,9060.0,8670.0,8940.0,156379.0,1395041540.0,169914176400.0,19006060,KOSDAQ
2022-07-06,8840.0,9420.0,8840.0,8920.0,244265.0,2237643050.0,169534055200.0,19006060,KOSDAQ
2022-07-07,8960.0,9320.0,8960.0,9290.0,101650.0,937931200.0,176566297400.0,19006060,KOSDAQ
2022-07-08,9290.0,9560.0,9240.0,9310.0,154191.0,1444496590.0,176946418600.0,19006060,KOSDAQ
2022-07-11,9310.0,10950.0,9280.0,9990.0,1630759.0,16579443140.0,189870539400.0,19006060,KOSDAQ
2022-07-12,9850.0,10150.0,9300.0,9330.0,556619.0,5394267790.0,177326539800.0,19006060,KOSDAQ
2022-07-13,9390.0,9440.0,9070.0,9170.0,177254.0,1630765200.0,174285570200.0,19006060,KOSDAQ
2022-07-14,9170.0,9800.0,9080.0,9440.0,399985.0,3800224670.0,179417206400.0,19006060,KOSDAQ
2022-07-15,9420.0,9520.0,9240.0,9290.0,170474.0,1593954900.0,176566297400.0,19006060,KOSDAQ
2022-07-18,9320.0,9610.0,9320.0,9600.0,138672.0,1317030580.0,182458176000.0,19006060,KOSDAQ
2022-07-19,9520.0,9990.0,9510.0,9770.0,264704.0,2594762770.0,185689206200.0,19006060,KOSDAQ
2022-07-20,9870.0,9950.0,9680.0,9730.0,127173.0,1248907880.0,184928963800.0,19006060,KOSDAQ
2022-07-21,9850.0,9850.0,9640.0,9640.0,111799.0,1085447700.0,183218418400.0,19006060,KOSDAQ
2022-07-22,9740.0,9740.0,9390.0,9450.0,119128.0,1131036580.0,179607267000.0,19006060,KOSDAQ
2022-07-25,9450.0,9450.0,9200.0,9240.0,92906.0,860899780.0,175615994400.0,19006060,KOSDAQ
2022-07-26,9250.0,9420.0,9190.0,9250.0,61931.0,574400020.0,175806055000.0,19006060,KOSDAQ
2022-07-27,9260.0,9560.0,9170.0,9520.0,100871.0,952909100.0,180937691200.0,19006060,KOSDAQ
2022-07-28,9660.0,9660.0,9360.0,9360.0,78242.0,741785350.0,177896721600.0,19006060,KOSDAQ
2022-07-29,9340.0,9500.0,9280.0,9430.0,74733.0,699965260.0,179227145800.0,19006060,KOSDAQ
2022-08-01,9350.0,9480.0,9320.0,9390.0,45531.0,428115330.0,178466903400.0,19006060,KOSDAQ
2022-08-02,9320.0,9390.0,9180.0,9230.0,75457.0,698196510.0,175425933800.0,19006060,KOSDAQ
2022-08-03,9230.0,9460.0,9200.0,9350.0,46019.0,428849410.0,177706661000.0,19006060,KOSDAQ
2022-08-04,9380.0,9830.0,9310.0,9700.0,244185.0,2363490660.0,184358782000.0,19006060,KOSDAQ
2022-08-05,9710.0,10100.0,9680.0,10000.0,264103.0,2620815190.0,190060600000.0,19006060,KOSDAQ
2022-08-08,10050.0,10300.0,9900.0,10000.0,147471.0,1479469410.0,190060600000.0,19006060,KOSDAQ
2022-08-09,10000.0,10100.0,9760.0,9950.0,97733.0,964859730.0,189110297000.0,19006060,KOSDAQ
2022-08-10,9800.0,9850.0,9420.0,9420.0,172903.0,1657046250.0,179037085200.0,19006060,KOSDAQ
2022-08-11,9590.0,9600.0,9490.0,9540.0,69698.0,664408170.0,181317812400.0,19006060,KOSDAQ
2022-08-12,9570.0,9670.0,9440.0,9530.0,77020.0,736836060.0,181127751800.0,19006060,KOSDAQ
2022-08-16,9550.0,9940.0,9500.0,9780.0,121215.0,1188337760.0,185879266800.0,19006060,KOSDAQ
2022-08-17,9800.0,10200.0,9660.0,9700.0,211142.0,2087658970.0,184358782000.0,19006060,KOSDAQ
2022-08-18,9590.0,9690.0,9470.0,9490.0,111118.0,1059913500.0,180367509400.0,19006060,KOSDAQ
2022-08-19,9520.0,9520.0,9280.0,9300.0,119089.0,1113660470.0,176756358000.0,19006060,KOSDAQ
2022-08-22,9160.0,9600.0,9040.0,9360.0,118280.0,1101396950.0,177896721600.0,19006060,KOSDAQ
2022-08-23,9340.0,9360.0,9100.0,9330.0,59565.0,550669790.0,177326539800.0,19006060,KOSDAQ
2022-08-24,9390.0,9440.0,9170.0,9260.0,53133.0,491314980.0,175996115600.0,19006060,KOSDAQ
2022-08-25,9300.0,9600.0,9120.0,9580.0,88674.0,833353700.0,182078054800.0,19006060,KOSDAQ
2022-08-26,9600.0,9980.0,9430.0,9440.0,182732.0,1774978190.0,179417206400.0,19006060,KOSDAQ
2022-08-29,9060.0,9200.0,9050.0,9100.0,74880.0,681437400.0,172955146000.0,19006060,KOSDAQ
2022-08-30,9090.0,9260.0,9080.0,9220.0,64404.0,588378500.0,175235873200.0,19006060,KOSDAQ
2022-08-31,9100.0,9450.0,9070.0,9420.0,78049.0,726641780.0,179037085200.0,19006060,KOSDAQ
2022-09-01,9320.0,9600.0,9100.0,9140.0,92541.0,853022720.0,173715388400.0,19006060,KOSDAQ
2022-09-02,9320.0,9500.0,9130.0,9150.0,67221.0,625010340.0,173905449000.0,19006060,KOSDAQ
2022-09-05,9140.0,9280.0,9000.0,9020.0,74064.0,674394650.0,171434661200.0,19006060,KOSDAQ
2022-09-06,9100.0,9140.0,9000.0,9070.0,39921.0,361904250.0,172384964200.0,19006060,KOSDAQ
2022-09-07,9000.0,10450.0,8830.0,8840.0,1496954.0,14378773440.0,168013570400.0,19006060,KOSDAQ
2022-09-08,8930.0,8980.0,8730.0,8750.0,97888.0,863489450.0,166303025000.0,19006060,KOSDAQ
2022-09-13,8900.0,8970.0,8830.0,8960.0,97514.0,867603520.0,170294297600.0,19006060,KOSDAQ
2022-09-14,8560.0,8750.0,8550.0,8590.0,124245.0,1073362330.0,163262055400.0,19006060,KOSDAQ
2022-09-15,8670.0,8670.0,8540.0,8540.0,60618.0,520402960.0,162311752400.0,19006060,KOSDAQ
2022-09-16,8470.0,8570.0,8290.0,8290.0,109034.0,917064510.0,157560237400.0,19006060,KOSDAQ
2022-09-19,8290.0,8320.0,7800.0,7800.0,142463.0,1140271680.0,148247268000.0,19006060,KOSDAQ
2022-09-20,7810.0,7920.0,7790.0,7820.0,40862.0,319854610.0,148627389200.0,19006060,KOSDAQ
2022-09-21,7730.0,8750.0,7680.0,7780.0,536629.0,4435469780.0,147867146800.0,19006060,KOSDAQ
2022-09-22,7650.0,7740.0,7400.0,7500.0,107005.0,801116920.0,142545450000.0,19006060,KOSDAQ
2022-09-23,7530.0,7650.0,7330.0,7430.0,86703.0,643518240.0,141215025800.0,19006060,KOSDAQ
2022-09-26,7230.0,7300.0,6820.0,6860.0,181846.0,1277826400.0,130381571600.0,19006060,KOSDAQ
2022-09-27,6860.0,7000.0,6690.0,6840.0,86946.0,591480100.0,130001450400.0,19006060,KOSDAQ
2022-09-28,6750.0,7090.0,6390.0,6520.0,191444.0,1275135840.0,123919511200.0,19006060,KOSDAQ
2022-09-29,7000.0,7050.0,6720.0,6760.0,166334.0,1143996140.0,128480965600.0,19006060,KOSDAQ
2022-09-30,6610.0,6910.0,6520.0,6750.0,67017.0,451918890.0,128290905000.0,19006060,KOSDAQ
2022-10-04,6850.0,7040.0,6820.0,7010.0,71332.0,496548900.0,133232480600.0,19006060,KOSDAQ
2022-10-05,7060.0,7100.0,6690.0,6790.0,70013.0,477814170.0,129051147400.0,19006060,KOSDAQ
2022-10-06,6790.0,7620.0,6790.0,7110.0,299490.0,2153329510.0,135133086600.0,19006060,KOSDAQ
2022-10-07,7060.0,7160.0,6930.0,6980.0,42140.0,295464310.0,132662298800.0,19006060,KOSDAQ
2022-10-11,6800.0,6800.0,6480.0,6550.0,83544.0,548801190.0,124489693000.0,19006060,KOSDAQ
2022-10-12,6490.0,8490.0,6490.0,7210.0,2980041.0,22998302840.0,137033692600.0,19006060,KOSDAQ
2022-10-13,7480.0,9370.0,7250.0,8740.0,10542328.0,93170286070.0,166112964400.0,19006060,KOSDAQ
2022-10-14,8710.0,9250.0,8490.0,8800.0,3211267.0,28419081520.0,167253328000.0,19006060,KOSDAQ
2022-10-17,8690.0,8740.0,8220.0,8470.0,739712.0,6223770460.0,160981328200.0,19006060,KOSDAQ
2022-10-18,8480.0,8970.0,8420.0,8610.0,1358942.0,11854172850.0,163642176600.0,19006060,KOSDAQ
2022-10-19,8680.0,9440.0,8400.0,8400.0,1415568.0,12570860940.0,159650904000.0,19006060,KOSDAQ
2022-10-20,8400.0,8600.0,8290.0,8410.0,278804.0,2349824000.0,159840964600.0,19006060,KOSDAQ
2022-10-21,8340.0,8380.0,7820.0,7850.0,375372.0,3002421750.0,149197571000.0,19006060,KOSDAQ
2022-10-24,8120.0,8600.0,8120.0,8370.0,476372.0,3989159630.0,159080722200.0,19006060,KOSDAQ
2022-10-25,8530.0,9150.0,8060.0,8100.0,842357.0,7152652340.0,153949086000.0,19006060,KOSDAQ
2022-10-26,8190.0,8300.0,7960.0,7980.0,193669.0,1571128060.0,151668358800.0,19006060,KOSDAQ
2022-10-27,7970.0,8110.0,7910.0,7980.0,144485.0,1154658890.0,151668358800.0,19006060,KOSDAQ
2022-10-28,7940.0,8060.0,7850.0,7900.0,101450.0,805739280.0,150147874000.0,19006060,KOSDAQ
2022-10-31,7990.0,8280.0,7950.0,7990.0,189212.0,1534752450.0,151858419400.0,19006060,KOSDAQ
2022-11-01,7990.0,8110.0,7870.0,8040.0,105299.0,841775660.0,152808722400.0,19006060,KOSDAQ
2022-11-02,7990.0,8330.0,7970.0,8130.0,210784.0,1719213520.0,154519267800.0,19006060,KOSDAQ
2022-11-03,7970.0,8050.0,7730.0,7990.0,224253.0,1770110130.0,151858419400.0,19006060,KOSDAQ
2022-11-04,7860.0,8040.0,7830.0,7940.0,87960.0,697162290.0,150908116400.0,19006060,KOSDAQ
2022-11-07,7940.0,8240.0,7930.0,8150.0,231383.0,1875524670.0,154899389000.0,19006060,KOSDAQ
2022-11-08,8160.0,8450.0,8150.0,8440.0,379029.0,3152681700.0,160411146400.0,19006060,KOSDAQ
