d,o,h,l,c,v,a,mc,s,m,rs
2016-01-04,24500.0,24500.0,23800.0,23900.0,822704.0,19820807150.0,8551795230000.0,357815700,KOSPI,tradable_ohlcv
2016-01-05,23850.0,24450.0,23650.0,23800.0,1139556.0,27233184500.0,8516013660000.0,357815700,KOSPI,tradable_ohlcv
2016-01-06,24150.0,24400.0,22800.0,23100.0,2203154.0,51295148550.0,8265542670000.0,357815700,KOSPI,tradable_ohlcv
2016-01-07,22750.0,23350.0,22300.0,22600.0,1297944.0,29445017950.0,8086634820000.0,357815700,KOSPI,tradable_ohlcv
2016-01-08,22250.0,22550.0,22050.0,22450.0,1218193.0,27193202550.0,8032962465000.0,357815700,KOSPI,tradable_ohlcv
2016-01-11,22200.0,22300.0,21950.0,22000.0,1115775.0,24699749600.0,7871945400000.0,357815700,KOSPI,tradable_ohlcv
2016-01-12,22000.0,22400.0,21950.0,22200.0,916043.0,20316075000.0,7943508540000.0,357815700,KOSPI,tradable_ohlcv
2016-01-13,22300.0,22550.0,22050.0,22300.0,1098347.0,24443033800.0,7979290110000.0,357815700,KOSPI,tradable_ohlcv
2016-01-14,22100.0,23400.0,21850.0,23000.0,2083708.0,47615604500.0,8229761100000.0,357815700,KOSPI,tradable_ohlcv
2016-01-15,23150.0,23400.0,22850.0,22950.0,1857073.0,42945960750.0,8211870315000.0,357815700,KOSPI,tradable_ohlcv
2016-01-18,22450.0,22700.0,22150.0,22300.0,1746191.0,39019056500.0,7979290110000.0,357815700,KOSPI,tradable_ohlcv
2016-01-19,22300.0,22350.0,21500.0,22000.0,1894288.0,41411349550.0,7871945400000.0,357815700,KOSPI,tradable_ohlcv
2016-01-20,21900.0,22250.0,21200.0,21200.0,1705909.0,36855832500.0,7585692840000.0,357815700,KOSPI,tradable_ohlcv
2016-01-21,21250.0,21700.0,21150.0,21500.0,1454419.0,31193418550.0,7693037550000.0,357815700,KOSPI,tradable_ohlcv
2016-01-22,21750.0,22000.0,21550.0,21950.0,1314561.0,28588654700.0,7854054615000.0,357815700,KOSPI,tradable_ohlcv
2016-01-25,22250.0,22300.0,21750.0,21900.0,862183.0,18984121300.0,7836163830000.0,357815700,KOSPI,tradable_ohlcv
2016-01-26,21850.0,22350.0,21800.0,21800.0,909850.0,20071549050.0,7800382260000.0,357815700,KOSPI,tradable_ohlcv
2016-01-27,22250.0,23150.0,22050.0,22800.0,1873250.0,42674299800.0,8158197960000.0,357815700,KOSPI,tradable_ohlcv
2016-01-28,22600.0,22600.0,21550.0,22200.0,2143899.0,47103401350.0,7943508540000.0,357815700,KOSPI,tradable_ohlcv
2016-01-29,21800.0,22000.0,21600.0,21900.0,1410518.0,30704816700.0,7836163830000.0,357815700,KOSPI,tradable_ohlcv
2016-02-01,22050.0,22600.0,21750.0,22550.0,1181607.0,26369419550.0,8068744035000.0,357815700,KOSPI,tradable_ohlcv
2016-02-02,22350.0,22450.0,22150.0,22250.0,614255.0,13702516250.0,7961399325000.0,357815700,KOSPI,tradable_ohlcv
