d,o,h,l,c,v,a,mc,s,m,rs
2026-01-02,642.0,708.0,641.0,690.0,1682555.0,1149439337.0,33373746120.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-05,690.0,690.0,640.0,679.0,526958.0,348305147.0,32841700892.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-06,673.0,699.0,662.0,687.0,303020.0,205453443.0,33228642876.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-07,686.0,700.0,642.0,650.0,449637.0,295227380.0,31439036200.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-08,658.0,669.0,615.0,640.0,305148.0,193599102.0,30955358720.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-09,640.0,647.0,623.0,633.0,150186.0,94833842.0,30616784484.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-12,633.0,685.0,633.0,669.0,569551.0,378227423.0,32358023412.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-13,669.0,680.0,631.0,637.0,308279.0,198587339.0,30810255476.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-14,630.0,640.0,615.0,626.0,261601.0,163141867.0,30278210248.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-15,626.0,747.0,626.0,716.0,5020309.0,3541452418.0,34631307568.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-16,722.0,722.0,652.0,691.0,1213386.0,827732781.0,33422113868.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-19,898.0,898.0,896.0,898.0,4889138.0,4390438407.0,43434237704.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-20,1167.0,1167.0,1167.0,1167.0,3030580.0,3536552360.0,56445161916.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-21,1517.0,1517.0,1225.0,1517.0,46548201.0,67925643670.0,73373873716.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-22,1600.0,1972.0,1600.0,1972.0,37799421.0,71515482685.0,95381199056.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-23,2230.0,2235.0,1381.0,1381.0,29149305.0,49691689346.0,66795859988.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-26,1309.0,1437.0,1179.0,1315.0,12596500.0,16698310247.0,63603588620.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-27,1345.0,1709.0,1320.0,1709.0,24270056.0,38562332385.0,82660481332.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-28,1813.0,1950.0,1637.0,1669.0,24499234.0,43525621549.0,80725771412.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-29,1601.0,1700.0,1556.0,1559.0,7787904.0,12428354366.0,75405319132.0,48367748,KOSDAQ,tradable_ohlcv
2026-01-30,1585.0,1585.0,1383.0,1410.0,6428618.0,9333555876.0,68198524680.0,48367748,KOSDAQ,tradable_ohlcv
2026-02-02,1410.0,1450.0,1270.0,1300.0,4531700.0,6126987927.0,62878072400.0,48367748,KOSDAQ,tradable_ohlcv
2026-02-03,1361.0,1415.0,1296.0,1328.0,2443134.0,3263241524.0,64232369344.0,48367748,KOSDAQ,tradable_ohlcv
2026-02-04,1326.0,1327.0,1247.0,1321.0,2245126.0,2888027703.0,63893795108.0,48367748,KOSDAQ,tradable_ohlcv
2026-02-05,1301.0,1321.0,1226.0,1260.0,1676087.0,2110967707.0,60943362480.0,48367748,KOSDAQ,tradable_ohlcv
2026-02-06,1288.0,1480.0,1271.0,1305.0,11413897.0,15723815782.0,63119911140.0,48367748,KOSDAQ,tradable_ohlcv
2026-02-09,1410.0,1410.0,1130.0,1180.0,10148789.0,12323284866.0,57073942640.0,48367748,KOSDAQ,tradable_ohlcv
2026-02-10,1180.0,1192.0,1030.0,1106.0,8197062.0,8831767551.0,53494729288.0,48367748,KOSDAQ,tradable_ohlcv
2026-02-11,1110.0,1123.0,1011.0,1070.0,4461877.0,4743557804.0,56897720800.0,53175440,KOSDAQ,tradable_ohlcv
2026-02-12,1070.0,1076.0,1030.0,1052.0,2193563.0,2302736521.0,55940562880.0,53175440,KOSDAQ,tradable_ohlcv
2026-02-13,1031.0,1047.0,997.0,1004.0,2324093.0,2354901587.0,53388141760.0,53175440,KOSDAQ,tradable_ohlcv
2026-02-19,1004.0,1049.0,940.0,993.0,3078622.0,3004418659.0,52803211920.0,53175440,KOSDAQ,tradable_ohlcv
2026-02-20,993.0,999.0,920.0,927.0,2769118.0,2613207088.0,49293632880.0,53175440,KOSDAQ,tradable_ohlcv
