code,current_or_latest_name,first_date,last_date,trading_day_count,profile_path
329020,오션스톤,2020-05-07,2022-12-26,618,atlas/symbol_profiles/329/329020.json
329050,구스앤홈,2019-07-12,2021-04-12,111,atlas/symbol_profiles/329/329050.json
331660,한국미라클피플사,2021-09-10,2026-06-22,336,atlas/symbol_profiles/331/331660.json
332190,오션스바이오,2025-01-14,2026-06-12,240,atlas/symbol_profiles/332/332190.json
336040,타스컴,2019-12-02,2026-06-22,1557,atlas/symbol_profiles/336/336040.json
337840,유엑스엔,2019-11-28,2026-06-22,1601,atlas/symbol_profiles/337/337840.json
341170,퓨쳐메디신,2022-07-27,2026-06-22,946,atlas/symbol_profiles/341/341170.json
341310,이앤에치,2019-12-27,2026-02-23,1444,atlas/symbol_profiles/341/341310.json
343090,HLB사이언스,2020-04-24,2025-12-26,1377,atlas/symbol_profiles/343/343090.json
344860,이노진,2020-04-27,2026-06-22,1260,atlas/symbol_profiles/344/344860.json
346010,타이드,2022-12-28,2026-04-06,517,atlas/symbol_profiles/346/346010.json
348840,데이드림엔터,2020-08-18,2023-08-08,469,atlas/symbol_profiles/348/348840.json
351020,미쥬,2023-10-26,2026-06-08,312,atlas/symbol_profiles/351/351020.json
354230,폭스소프트,2020-06-25,2021-08-31,148,atlas/symbol_profiles/354/354230.json
354390,바스칸바이오제약,2022-07-20,2026-06-22,827,atlas/symbol_profiles/354/354390.json
368030,창대정밀,2024-12-23,2026-05-13,0,atlas/symbol_profiles/368/368030.json
379390,이성씨엔아이,2021-06-04,2026-06-15,599,atlas/symbol_profiles/379/379390.json
388610,지에프씨생명과학,2022-12-23,2026-06-22,811,atlas/symbol_profiles/388/388610.json
390110,애니메디솔루션,2022-12-26,2026-06-22,689,atlas/symbol_profiles/390/390110.json
393210,토마토시스템,2021-10-14,2026-06-22,1090,atlas/symbol_profiles/393/393210.json
402420,켈스,2021-11-30,2026-06-22,707,atlas/symbol_profiles/402/402420.json
403360,라피치,2021-12-14,2026-06-22,959,atlas/symbol_profiles/403/403360.json
403810,아이엘로보틱스,2025-11-18,2026-06-22,135,atlas/symbol_profiles/403/403810.json
413300,티엘엔지니어링,2022-09-27,2026-06-22,909,atlas/symbol_profiles/413/413300.json
419700,이브이파킹서비스,2023-07-05,2024-12-11,224,atlas/symbol_profiles/419/419700.json
434190,탈로스,2022-10-24,2026-06-22,876,atlas/symbol_profiles/434/434190.json
446440,에피바이오텍,2023-07-31,2026-06-22,678,atlas/symbol_profiles/446/446440.json
