d,o,h,l,c,v,a,mc,s,m
2022-01-03,1600.0,1755.0,1585.0,1610.0,129647.0,214156700.0,61073923540.0,37934114,KOSDAQ
2022-01-04,1600.0,1645.0,1590.0,1630.0,53525.0,86510165.0,61832605820.0,37934114,KOSDAQ
2022-01-05,1660.0,1660.0,1590.0,1620.0,49486.0,79579110.0,63497427660.0,39195943,KOSDAQ
2022-01-06,1660.0,1660.0,1595.0,1635.0,99703.0,160654485.0,64085366805.0,39195943,KOSDAQ
2022-01-07,1615.0,1660.0,1615.0,1650.0,27397.0,44863140.0,64673305950.0,39195943,KOSDAQ
2022-01-10,1705.0,1790.0,1645.0,1740.0,204432.0,354916970.0,68200940820.0,39195943,KOSDAQ
2022-01-11,1765.0,1775.0,1690.0,1735.0,95522.0,164660780.0,68004961105.0,39195943,KOSDAQ
2022-01-12,1720.0,1755.0,1655.0,1675.0,66679.0,112231430.0,65653204525.0,39195943,KOSDAQ
2022-01-13,1700.0,1700.0,1590.0,1675.0,47293.0,76983700.0,65653204525.0,39195943,KOSDAQ
2022-01-14,1680.0,1700.0,1610.0,1615.0,53803.0,87534670.0,63301447945.0,39195943,KOSDAQ
2022-01-17,1630.0,1630.0,1590.0,1620.0,25064.0,40207145.0,63497427660.0,39195943,KOSDAQ
2022-01-18,1610.0,1630.0,1590.0,1600.0,26231.0,42034705.0,62713508800.0,39195943,KOSDAQ
2022-01-19,1610.0,1630.0,1570.0,1610.0,25094.0,39905955.0,63105468230.0,39195943,KOSDAQ
2022-01-20,1580.0,1675.0,1580.0,1625.0,52817.0,85141885.0,63693407375.0,39195943,KOSDAQ
2022-01-21,1640.0,1640.0,1590.0,1625.0,29264.0,47004830.0,63693407375.0,39195943,KOSDAQ
2022-01-24,1630.0,1630.0,1530.0,1600.0,48874.0,76658700.0,62713508800.0,39195943,KOSDAQ
2022-01-25,1595.0,1610.0,1510.0,1575.0,55083.0,85109215.0,61733610225.0,39195943,KOSDAQ
2022-01-26,1570.0,1575.0,1515.0,1570.0,13436.0,20962000.0,61537630510.0,39195943,KOSDAQ
