d,o,h,l,c,v,a,mc,s,m
2000-11-21,14000.0,14000.0,11000.0,11000.0,1465.0,20220400.0,49394400000.0,4490400,KOSDAQ
2000-11-22,9700.0,9700.0,9700.0,9700.0,6.0,58200.0,43556880000.0,4490400,KOSDAQ
2000-11-23,8540.0,8540.0,8540.0,8540.0,70.0,597800.0,38348016000.0,4490400,KOSDAQ
2000-11-24,7520.0,7520.0,7520.0,7520.0,1.0,7520.0,33767808000.0,4490400,KOSDAQ
2000-11-27,6620.0,6620.0,6620.0,6620.0,21.0,139020.0,29726448000.0,4490400,KOSDAQ
2000-11-28,5830.0,5830.0,5830.0,5830.0,156.0,909480.0,26179032000.0,4490400,KOSDAQ
2000-11-29,5140.0,6520.0,5140.0,5140.0,476.0,2452280.0,23080656000.0,4490400,KOSDAQ
2000-11-30,5020.0,5750.0,5020.0,5040.0,118.0,604170.0,22631616000.0,4490400,KOSDAQ
2000-12-01,5040.0,5640.0,5040.0,5100.0,15.0,77280.0,22901040000.0,4490400,KOSDAQ
2000-12-04,5040.0,5710.0,5040.0,5710.0,216.0,1089310.0,25640184000.0,4490400,KOSDAQ
2000-12-05,6390.0,6390.0,6390.0,6390.0,1.0,6390.0,28693656000.0,4490400,KOSDAQ
2000-12-06,5630.0,6600.0,5630.0,5650.0,375.0,2113660.0,25370760000.0,4490400,KOSDAQ
2000-12-07,5650.0,6000.0,5650.0,6000.0,7.0,41300.0,26942400000.0,4490400,KOSDAQ
2000-12-08,6500.0,6500.0,5280.0,5280.0,7.0,39420.0,23709312000.0,4490400,KOSDAQ
2000-12-11,5040.0,5100.0,5040.0,5100.0,203.0,1023840.0,22901040000.0,4490400,KOSDAQ
2000-12-12,5050.0,5050.0,5050.0,5050.0,50.0,252500.0,22676520000.0,4490400,KOSDAQ
2000-12-13,5500.0,5500.0,5500.0,5500.0,100.0,550000.0,24697200000.0,4490400,KOSDAQ
2000-12-15,5070.0,5490.0,5070.0,5490.0,89.0,451650.0,24652296000.0,4490400,KOSDAQ
2000-12-18,6100.0,6100.0,6100.0,6100.0,1.0,6100.0,27391440000.0,4490400,KOSDAQ
2000-12-22,5200.0,5490.0,5110.0,5490.0,17.0,87340.0,24652296000.0,4490400,KOSDAQ
2000-12-26,6140.0,6140.0,5490.0,5490.0,55.0,334450.0,24652296000.0,4490400,KOSDAQ
