d,o,h,l,c,v,a,mc,s,m
2007-01-02,17350.0,17900.0,17200.0,17800.0,34652.0,609195650.0,128961000000.0,7245000,KOSDAQ
2007-01-03,17900.0,17900.0,17500.0,17800.0,51576.0,911906900.0,128961000000.0,7245000,KOSDAQ
2007-01-04,18000.0,18000.0,17400.0,17650.0,40520.0,713075550.0,127874250000.0,7245000,KOSDAQ
2007-01-05,17700.0,18000.0,17200.0,17450.0,62084.0,1090593050.0,126425250000.0,7245000,KOSDAQ
2007-01-08,17500.0,17600.0,16900.0,17150.0,75625.0,1299298300.0,124251750000.0,7245000,KOSDAQ
2007-01-09,17100.0,17200.0,16700.0,17150.0,90539.0,1542251350.0,124251750000.0,7245000,KOSDAQ
2007-01-10,17100.0,17250.0,15700.0,16000.0,183963.0,2978237800.0,115920000000.0,7245000,KOSDAQ
2007-01-11,15850.0,16250.0,15400.0,15700.0,151098.0,2377617150.0,113746500000.0,7245000,KOSDAQ
2007-01-12,15800.0,15900.0,15450.0,15800.0,88459.0,1389737700.0,114471000000.0,7245000,KOSDAQ
2007-01-15,15850.0,15900.0,15100.0,15100.0,117289.0,1800777350.0,109399500000.0,7245000,KOSDAQ
2007-01-16,15100.0,15200.0,14150.0,14400.0,170177.0,2465129850.0,104328000000.0,7245000,KOSDAQ
2007-01-17,14300.0,14700.0,14200.0,14550.0,107570.0,1552001500.0,105414750000.0,7245000,KOSDAQ
2007-01-18,14400.0,14600.0,13250.0,13500.0,220879.0,3054978750.0,97807500000.0,7245000,KOSDAQ
2007-01-19,13350.0,13500.0,12600.0,12850.0,198945.0,2560290700.0,93098250000.0,7245000,KOSDAQ
2007-01-22,12850.0,13500.0,12850.0,13300.0,173875.0,2300474050.0,96358500000.0,7245000,KOSDAQ
2007-01-23,13150.0,13800.0,13050.0,13800.0,102307.0,1381224300.0,99981000000.0,7245000,KOSDAQ
2007-01-24,13800.0,14050.0,13400.0,13900.0,67967.0,938360800.0,100705500000.0,7245000,KOSDAQ
2007-01-25,13900.0,14350.0,13650.0,14200.0,80651.0,1132157100.0,102879000000.0,7245000,KOSDAQ
2007-01-26,14050.0,14250.0,13900.0,14200.0,32362.0,456621450.0,102879000000.0,7245000,KOSDAQ
2007-01-29,14300.0,14300.0,13550.0,13900.0,67893.0,940858900.0,100705500000.0,7245000,KOSDAQ
2007-01-30,13750.0,14100.0,13650.0,14050.0,31954.0,444992100.0,101792250000.0,7245000,KOSDAQ
2007-01-31,14000.0,14200.0,13750.0,13800.0,34725.0,483696000.0,99981000000.0,7245000,KOSDAQ
2007-02-01,13750.0,14100.0,13650.0,13650.0,63054.0,875318100.0,98894250000.0,7245000,KOSDAQ
2007-02-02,13750.0,13950.0,13450.0,13650.0,71683.0,982316050.0,98894250000.0,7245000,KOSDAQ
2007-02-05,13500.0,13650.0,13250.0,13400.0,50743.0,678571900.0,97083000000.0,7245000,KOSDAQ
2007-02-06,13450.0,13550.0,13200.0,13200.0,39624.0,527108300.0,95634000000.0,7245000,KOSDAQ
2007-02-07,13150.0,13750.0,13150.0,13750.0,90099.0,1210790200.0,99618750000.0,7245000,KOSDAQ
2007-02-08,14000.0,14000.0,13550.0,13700.0,63056.0,864887050.0,99256500000.0,7245000,KOSDAQ
2007-02-09,13600.0,13800.0,13250.0,13600.0,70347.0,947319850.0,98532000000.0,7245000,KOSDAQ
2007-02-12,13450.0,13450.0,13100.0,13450.0,29480.0,392052250.0,97445250000.0,7245000,KOSDAQ
2007-02-13,13300.0,13500.0,13100.0,13250.0,45282.0,600426350.0,95996250000.0,7245000,KOSDAQ
2007-02-14,13200.0,13450.0,13150.0,13250.0,32777.0,435452800.0,95996250000.0,7245000,KOSDAQ
2007-02-15,13350.0,13450.0,13200.0,13250.0,35780.0,475299300.0,95996250000.0,7245000,KOSDAQ
