d,o,h,l,c,v,a,mc,s,m
2006-07-03,6000.0,6900.0,6000.0,6900.0,1808985.0,11769963800.0,799006131000.0,115797990,KOSPI
2006-07-04,7260.0,7930.0,7250.0,7930.0,6585681.0,50697289700.0,918278060700.0,115797990,KOSPI
2006-07-05,7890.0,9000.0,7580.0,8150.0,5596415.0,47621386590.0,943753618500.0,115797990,KOSPI
2006-07-06,7760.0,8690.0,7150.0,7450.0,3206107.0,25468853250.0,862695025500.0,115797990,KOSPI
2006-07-07,7700.0,7960.0,7230.0,7290.0,1569543.0,11960941590.0,844167347100.0,115797990,KOSPI
2006-07-10,7100.0,7450.0,6880.0,7330.0,1649014.0,11783634620.0,848799266700.0,115797990,KOSPI
2006-07-11,7360.0,7560.0,7190.0,7230.0,1108083.0,8132341190.0,837219467700.0,115797990,KOSPI
2006-07-12,7120.0,7290.0,7010.0,7010.0,735518.0,5240072960.0,811743909900.0,115797990,KOSPI
2006-07-13,6950.0,7060.0,6740.0,6760.0,589759.0,4061743140.0,782794412400.0,115797990,KOSPI
2006-07-14,6580.0,7030.0,6370.0,6770.0,878962.0,5865021660.0,783952392300.0,115797990,KOSPI
2006-07-18,6900.0,7310.0,6770.0,6800.0,1166622.0,8178369900.0,787426332000.0,115797990,KOSPI
2006-07-19,6900.0,6900.0,6420.0,6500.0,650459.0,4314014200.0,752686935000.0,115797990,KOSPI
2006-07-20,6700.0,6740.0,6530.0,6620.0,414508.0,2751296770.0,766582693800.0,115797990,KOSPI
2006-07-21,6530.0,6630.0,6400.0,6490.0,286800.0,1862544000.0,751528955100.0,115797990,KOSPI
2006-07-24,6350.0,6400.0,6170.0,6190.0,375146.0,2351030340.0,716789558100.0,115797990,KOSPI
2006-07-25,6300.0,6300.0,6100.0,6270.0,298941.0,1854340670.0,726053397300.0,115797990,KOSPI
2006-07-26,6230.0,6370.0,6100.0,6100.0,197630.0,1225673160.0,706367739000.0,115797990,KOSPI
2006-07-27,6110.0,6150.0,5880.0,6000.0,354214.0,2135447200.0,694787940000.0,115797990,KOSPI
2006-07-28,5950.0,6040.0,5710.0,5730.0,301370.0,1749908600.0,663522482700.0,115797990,KOSPI
2006-07-31,5750.0,6490.0,5520.0,6210.0,1581581.0,9608722220.0,719105517900.0,115797990,KOSPI
2006-08-01,6250.0,7020.0,6250.0,6730.0,2231339.0,14982038180.0,779320472700.0,115797990,KOSPI
2006-08-02,6800.0,6850.0,6300.0,6340.0,772012.0,4985200400.0,734159256600.0,115797990,KOSPI
2006-08-03,6320.0,6330.0,5880.0,6000.0,2693521.0,16140265550.0,694787940000.0,115797990,KOSPI
2006-08-04,6040.0,6230.0,5990.0,6120.0,988640.0,6046316040.0,708683698800.0,115797990,KOSPI
2006-08-07,6150.0,6330.0,6120.0,6200.0,656235.0,4076546700.0,717947538000.0,115797990,KOSPI
2006-08-08,6150.0,6190.0,6010.0,6050.0,383336.0,2323267100.0,700577839500.0,115797990,KOSPI
2006-08-09,6010.0,6040.0,5850.0,5910.0,741204.0,4375282640.0,684366120900.0,115797990,KOSPI
2006-08-10,5930.0,6480.0,5900.0,6480.0,1495111.0,9267093780.0,750370975200.0,115797990,KOSPI
2006-08-11,6570.0,6570.0,6250.0,6390.0,643851.0,4114564220.0,739949156100.0,115797990,KOSPI
2006-08-14,6450.0,6480.0,6100.0,6200.0,452155.0,2837650780.0,717947538000.0,115797990,KOSPI
2006-08-16,6350.0,6380.0,6110.0,6120.0,723791.0,4513282720.0,708683698800.0,115797990,KOSPI
2006-08-17,6120.0,6150.0,5970.0,6130.0,571501.0,3452739230.0,709841678700.0,115797990,KOSPI
2006-08-18,6160.0,6300.0,6040.0,6060.0,487231.0,2992331160.0,701735819400.0,115797990,KOSPI
2006-08-21,6050.0,6160.0,5850.0,5950.0,561940.0,3345284900.0,688998040500.0,115797990,KOSPI
2006-08-22,5950.0,5960.0,5730.0,5760.0,667922.0,3875540620.0,666996422400.0,115797990,KOSPI
2006-08-23,5800.0,5800.0,5580.0,5640.0,851111.0,4818763690.0,653100663600.0,115797990,KOSPI
2006-08-24,5600.0,5780.0,5580.0,5670.0,514024.0,2921512180.0,656574603300.0,115797990,KOSPI
2006-08-25,5520.0,5760.0,5520.0,5660.0,586540.0,3301308100.0,655416623400.0,115797990,KOSPI
2006-08-28,5680.0,5960.0,5680.0,5940.0,866582.0,5081631300.0,687840060600.0,115797990,KOSPI
2006-08-29,6020.0,6750.0,6020.0,6550.0,4148032.0,26603486700.0,758476834500.0,115797990,KOSPI
2006-08-30,6560.0,6570.0,6300.0,6400.0,1815161.0,11671371900.0,741107136000.0,115797990,KOSPI
2006-08-31,6460.0,6620.0,6330.0,6460.0,1298859.0,8432694220.0,748055015400.0,115797990,KOSPI
2006-09-01,6530.0,6710.0,6360.0,6460.0,1456370.0,9495818300.0,748055015400.0,115797990,KOSPI
2006-09-04,6560.0,7200.0,6520.0,7020.0,3410884.0,23565370830.0,812901889800.0,115797990,KOSPI
2006-09-05,7020.0,7090.0,6750.0,6830.0,1445783.0,9876107000.0,790900271700.0,115797990,KOSPI
2006-09-06,6900.0,7160.0,6810.0,7020.0,1475108.0,10327334960.0,812901889800.0,115797990,KOSPI
2006-09-07,6850.0,6960.0,6570.0,6570.0,1073017.0,7258461890.0,760792794300.0,115797990,KOSPI
2006-09-08,6510.0,7160.0,6510.0,7110.0,1642473.0,11400479130.0,823323708900.0,115797990,KOSPI
2006-09-11,7200.0,7400.0,7000.0,7120.0,1101265.0,7875367200.0,824481688800.0,115797990,KOSPI
2006-09-12,7120.0,7290.0,6900.0,7290.0,788812.0,5565870800.0,844167347100.0,115797990,KOSPI
2006-09-13,7300.0,7390.0,7150.0,7150.0,791647.0,5767354500.0,827955628500.0,115797990,KOSPI
2006-09-14,7380.0,7640.0,7330.0,7380.0,1947442.0,14565800960.0,854589166200.0,115797990,KOSPI
2006-09-15,7410.0,7500.0,7190.0,7310.0,1459984.0,10680595340.0,846483306900.0,115797990,KOSPI
2006-09-18,7390.0,7400.0,7230.0,7310.0,777997.0,5677489470.0,846483306900.0,115797990,KOSPI
2006-09-19,7280.0,7360.0,7060.0,7110.0,885273.0,6338707580.0,823323708900.0,115797990,KOSPI
2006-09-20,7060.0,7310.0,7060.0,7200.0,613706.0,4421279580.0,833745528000.0,115797990,KOSPI
2006-09-21,7300.0,7350.0,7100.0,7100.0,402087.0,2890373000.0,822165729000.0,115797990,KOSPI
2006-09-22,7000.0,7350.0,6970.0,7290.0,842466.0,6077768240.0,844167347100.0,115797990,KOSPI
2006-09-25,7290.0,7470.0,7230.0,7450.0,703947.0,5204209500.0,862695025500.0,115797990,KOSPI
2006-09-26,7490.0,7520.0,7220.0,7240.0,623186.0,4584881070.0,838377447600.0,115797990,KOSPI
2006-09-27,7310.0,7430.0,7190.0,7390.0,527619.0,3858653110.0,855747146100.0,115797990,KOSPI
2006-09-28,7390.0,7420.0,7080.0,7080.0,596093.0,4311224840.0,819849769200.0,115797990,KOSPI
2006-09-29,6980.0,7080.0,6660.0,7080.0,1033643.0,7087513040.0,819849769200.0,115797990,KOSPI
2006-10-02,7070.0,7210.0,6980.0,7130.0,297700.0,2120072760.0,825639668700.0,115797990,KOSPI
2006-10-04,7070.0,7210.0,7000.0,7100.0,276192.0,1959807900.0,822165729000.0,115797990,KOSPI
2006-10-09,7010.0,7200.0,6300.0,6820.0,717150.0,4898965600.0,789742291800.0,115797990,KOSPI
2006-10-10,6820.0,7000.0,6820.0,6900.0,226929.0,1569166600.0,799006131000.0,115797990,KOSPI
2006-10-11,6810.0,6900.0,6680.0,6810.0,242245.0,1639902050.0,788584311900.0,115797990,KOSPI
2006-10-12,6720.0,7110.0,6720.0,7100.0,403053.0,2815983600.0,822165729000.0,115797990,KOSPI
2006-10-13,7130.0,7190.0,7000.0,7030.0,199611.0,1414824900.0,814059869700.0,115797990,KOSPI
2006-10-16,7010.0,7090.0,6920.0,7000.0,189920.0,1329135600.0,810585930000.0,115797990,KOSPI
2006-10-17,7000.0,7050.0,6750.0,6940.0,229800.0,1589780500.0,803638050600.0,115797990,KOSPI
2006-10-18,6950.0,7400.0,6810.0,7370.0,612792.0,4399706140.0,853431186300.0,115797990,KOSPI
2006-10-19,7340.0,7400.0,7210.0,7380.0,367687.0,2688452060.0,854589166200.0,115797990,KOSPI
2006-10-20,7370.0,7580.0,7300.0,7300.0,532074.0,3976299480.0,845325327000.0,115797990,KOSPI
2006-10-23,7350.0,7550.0,7110.0,7250.0,528106.0,3864031200.0,839535427500.0,115797990,KOSPI
2006-10-24,7350.0,7720.0,7200.0,7560.0,1452536.0,10918575660.0,875432804400.0,115797990,KOSPI
2006-10-25,7640.0,8450.0,7640.0,7870.0,2814888.0,22633357590.0,911330181300.0,115797990,KOSPI
2006-10-26,7900.0,7950.0,7680.0,7780.0,677736.0,5270239580.0,900908362200.0,115797990,KOSPI
2006-10-27,7900.0,7920.0,7550.0,7700.0,817455.0,6298134200.0,891644523000.0,115797990,KOSPI
2006-10-30,7550.0,7790.0,7520.0,7650.0,354255.0,2719463150.0,885854623500.0,115797990,KOSPI
2006-10-31,7670.0,7890.0,7620.0,7650.0,483542.0,3740516100.0,885854623500.0,115797990,KOSPI
2006-11-01,7700.0,8110.0,7660.0,8070.0,1070773.0,8523223760.0,934489779300.0,115797990,KOSPI
2006-11-02,8070.0,8320.0,7970.0,8220.0,1090482.0,8940906940.0,951859477800.0,115797990,KOSPI
2006-11-03,8260.0,8410.0,8090.0,8300.0,1055684.0,8771259400.0,961123317000.0,115797990,KOSPI
2006-11-06,8490.0,8690.0,8390.0,8520.0,1228206.0,10453701720.0,986598874800.0,115797990,KOSPI
2006-11-07,8590.0,8590.0,8380.0,8500.0,792963.0,6737707700.0,984282915000.0,115797990,KOSPI
2006-11-08,8500.0,8530.0,8140.0,8150.0,821807.0,6803854700.0,943753618500.0,115797990,KOSPI
2006-11-09,8150.0,8330.0,8150.0,8170.0,455910.0,3752095250.0,946069578300.0,115797990,KOSPI
2006-11-10,8120.0,8390.0,8060.0,8370.0,411167.0,3374799210.0,969229176300.0,115797990,KOSPI
2006-11-13,8370.0,8480.0,8290.0,8450.0,302764.0,2539116300.0,978493015500.0,115797990,KOSPI
2006-11-14,8480.0,8480.0,8330.0,8330.0,369185.0,3095259810.0,964597256700.0,115797990,KOSPI
2006-11-15,8370.0,8410.0,8100.0,8150.0,490985.0,4020621560.0,943753618500.0,115797990,KOSPI
2006-11-16,8160.0,8250.0,8000.0,8080.0,405682.0,3295753080.0,935647759200.0,115797990,KOSPI
2006-11-17,8080.0,8320.0,8080.0,8300.0,455117.0,3744605000.0,961123317000.0,115797990,KOSPI
2006-11-20,8310.0,8370.0,8110.0,8140.0,191867.0,1569513080.0,942595638600.0,115797990,KOSPI
2006-11-21,8100.0,8180.0,7740.0,8000.0,644105.0,5051936560.0,926383920000.0,115797990,KOSPI
2006-11-22,7930.0,8280.0,7860.0,8120.0,705701.0,5784335520.0,943121678800.0,116147990,KOSPI
2006-11-23,8230.0,8280.0,8130.0,8220.0,529079.0,4341100480.0,954736477800.0,116147990,KOSPI
2006-11-24,8300.0,8310.0,8040.0,8050.0,548299.0,4464933070.0,934991319500.0,116147990,KOSPI
