d,o,h,l,c,v,a,mc,s,m,rs
2015-05-06,17000.0,19550.0,15600.0,15600.0,1690760.0,29916981600.0,142461742800.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-07,16350.0,17900.0,16000.0,16800.0,942417.0,15883775200.0,153420338400.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-08,16950.0,17800.0,16450.0,17750.0,383330.0,6578937850.0,162095893250.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-11,17850.0,18500.0,17050.0,18000.0,473743.0,8463149850.0,164378934000.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-12,17950.0,18200.0,17400.0,17600.0,199870.0,3554912300.0,160726068800.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-13,17650.0,18200.0,17200.0,17500.0,101837.0,1784011300.0,159812852500.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-14,17700.0,17950.0,16800.0,17300.0,216658.0,3721019050.0,157986419900.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-15,17300.0,17550.0,17200.0,17200.0,80565.0,1396089100.0,157073203600.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-18,17300.0,17300.0,16600.0,16850.0,114635.0,1929903800.0,153876946550.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-19,16600.0,16800.0,16100.0,16350.0,129567.0,2125987600.0,149310865050.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-20,16350.0,17000.0,15600.0,16700.0,277924.0,4550423250.0,152507122100.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-21,16900.0,17500.0,16700.0,17050.0,175354.0,3001405600.0,155703379150.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-22,17200.0,17350.0,16250.0,16250.0,135683.0,2260228150.0,148397648750.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-26,16400.0,16950.0,15750.0,15850.0,112294.0,1827592800.0,144744783550.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-27,15950.0,16150.0,15500.0,15700.0,86883.0,1377336500.0,143374959100.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-28,15900.0,16650.0,15750.0,16500.0,100993.0,1648130950.0,150680689500.0,9132163,KOSDAQ,tradable_ohlcv
2015-05-29,16650.0,17850.0,16350.0,17800.0,260373.0,4520842350.0,162552501400.0,9132163,KOSDAQ,tradable_ohlcv
2015-06-01,17800.0,18100.0,17350.0,17550.0,92157.0,1624530150.0,160269460650.0,9132163,KOSDAQ,tradable_ohlcv
2015-06-02,17550.0,17700.0,16150.0,16900.0,133307.0,2253005750.0,154333554700.0,9132163,KOSDAQ,tradable_ohlcv
2015-06-03,17000.0,18200.0,16550.0,18100.0,395943.0,7085964800.0,165292150300.0,9132163,KOSDAQ,tradable_ohlcv
2015-06-04,18350.0,18500.0,17800.0,18100.0,165568.0,3016598700.0,165292150300.0,9132163,KOSDAQ,tradable_ohlcv
2015-06-05,18100.0,19850.0,17900.0,19000.0,451194.0,8587875250.0,173511097000.0,9132163,KOSDAQ,tradable_ohlcv
2015-06-08,19250.0,19350.0,17900.0,18150.0,235034.0,4303871000.0,165748758450.0,9132163,KOSDAQ,tradable_ohlcv
2015-06-09,17900.0,18400.0,17550.0,18200.0,109860.0,1977697400.0,166205366600.0,9132163,KOSDAQ,tradable_ohlcv
