d,o,h,l,c,v,a,mc,s,m,rs
2009-01-02,35000.0,35350.0,33500.0,33550.0,14591.0,501831650.0,107360000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-05,34500.0,34500.0,33000.0,34250.0,16399.0,556958750.0,109600000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-06,35000.0,35000.0,33600.0,34250.0,22199.0,762662250.0,109600000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-07,34850.0,36500.0,34000.0,36200.0,35864.0,1286764400.0,115840000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-08,36000.0,36350.0,34700.0,36350.0,26124.0,923050700.0,116320000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-09,36350.0,37300.0,35050.0,35250.0,17070.0,611197000.0,112800000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-12,34650.0,34700.0,33000.0,33500.0,17087.0,581510000.0,107200000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-13,32900.0,35000.0,32100.0,35000.0,16460.0,555597000.0,112000000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-14,34500.0,35000.0,33650.0,34900.0,20022.0,688008800.0,111680000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-15,33200.0,33450.0,32150.0,32200.0,24725.0,808395500.0,103040000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-16,32350.0,33200.0,31900.0,33000.0,13291.0,430191000.0,105600000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-19,33000.0,34400.0,32100.0,34000.0,9895.0,333357500.0,108800000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-20,32650.0,33800.0,32350.0,32600.0,8904.0,291214900.0,104320000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-21,31500.0,32300.0,30550.0,31300.0,13053.0,409859900.0,100160000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-22,31550.0,32200.0,31050.0,31100.0,12271.0,385493100.0,99520000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-23,30950.0,31550.0,30300.0,30650.0,11639.0,359191800.0,98080000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-28,32350.0,32600.0,31600.0,32300.0,7910.0,254423000.0,103360000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-29,32300.0,33500.0,31900.0,33500.0,9940.0,329202000.0,107200000000.0,3200000,KOSPI,tradable_ohlcv
2009-01-30,33700.0,34850.0,32450.0,34500.0,16117.0,548666500.0,110400000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-02,33900.0,34100.0,31550.0,32900.0,40683.0,1334466300.0,105280000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-03,31950.0,34000.0,31600.0,34000.0,17320.0,574498500.0,108800000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-04,33400.0,34500.0,33400.0,34050.0,14451.0,491914200.0,108960000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-05,33200.0,34150.0,32600.0,32600.0,13837.0,458186700.0,104320000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-06,32400.0,33350.0,32200.0,33350.0,10665.0,349616900.0,106720000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-09,33400.0,33850.0,33000.0,33200.0,7900.0,263574000.0,106240000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-10,33900.0,33900.0,32450.0,32700.0,4521.0,148760200.0,104640000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-11,32400.0,33000.0,32150.0,32700.0,5098.0,166268700.0,104640000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-12,32300.0,32900.0,32250.0,32700.0,7432.0,242274400.0,104640000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-13,32700.0,33700.0,32100.0,33400.0,6048.0,200228700.0,106880000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-16,32700.0,33700.0,32450.0,32550.0,8889.0,294346450.0,104160000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-17,32100.0,32150.0,30900.0,32000.0,12970.0,407394500.0,102400000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-18,31700.0,31700.0,30550.0,30650.0,13716.0,423426800.0,98080000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-19,30250.0,30900.0,29750.0,29750.0,12444.0,374804000.0,95200000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-20,30200.0,30200.0,27400.0,28500.0,13183.0,372856500.0,91200000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-23,28400.0,29450.0,27150.0,29450.0,9397.0,267650150.0,94240000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-24,27500.0,28500.0,27500.0,28500.0,8300.0,232648000.0,91200000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-25,28600.0,29000.0,27500.0,28100.0,11790.0,330858500.0,89920000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-26,27600.0,28900.0,26600.0,27500.0,10182.0,282576500.0,88000000000.0,3200000,KOSPI,tradable_ohlcv
2009-02-27,26700.0,28400.0,26500.0,28400.0,14480.0,399709000.0,90880000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-02,27200.0,27350.0,26200.0,26200.0,10076.0,267759200.0,83840000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-03,25800.0,26150.0,24200.0,25700.0,11507.0,293141900.0,82240000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-04,25250.0,26200.0,25000.0,25900.0,18842.0,487019800.0,82880000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-05,26000.0,26300.0,24600.0,25150.0,18518.0,473583700.0,80480000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-06,25000.0,25000.0,23900.0,24750.0,24950.0,604999200.0,79200000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-09,24550.0,25100.0,24100.0,24100.0,25428.0,621243300.0,77120000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-10,23650.0,26350.0,23650.0,25700.0,42819.0,1088681300.0,82240000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-11,27000.0,27100.0,25800.0,26400.0,44911.0,1180631400.0,84480000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-12,26400.0,26400.0,24750.0,24750.0,47529.0,1200484250.0,79200000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-13,25050.0,26100.0,24850.0,25900.0,42180.0,1080949300.0,82880000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-16,26650.0,29000.0,26300.0,26950.0,75097.0,2066500550.0,86240000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-17,27500.0,28450.0,27250.0,28200.0,42467.0,1179870150.0,90240000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-18,28500.0,28600.0,27150.0,28000.0,53423.0,1477403500.0,89600000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-19,28350.0,29450.0,28300.0,28450.0,55337.0,1587320900.0,91040000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-20,28800.0,29450.0,28600.0,28600.0,33063.0,956340500.0,91520000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-23,28700.0,30500.0,28400.0,29850.0,37638.0,1109855800.0,95520000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-24,30300.0,30950.0,28850.0,29350.0,33332.0,990828200.0,93920000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-25,29300.0,29500.0,28450.0,29350.0,54346.0,1564099100.0,93920000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-26,29350.0,30850.0,28700.0,30850.0,46177.0,1384859950.0,98720000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-27,31300.0,34700.0,31000.0,33300.0,94526.0,3117436300.0,106560000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-30,33300.0,33350.0,31100.0,31300.0,44599.0,1429366300.0,100160000000.0,3200000,KOSPI,tradable_ohlcv
2009-03-31,31000.0,32800.0,30650.0,31500.0,85822.0,2708430800.0,100800000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-01,31500.0,33350.0,31350.0,32900.0,68273.0,2228206200.0,105280000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-02,33800.0,37350.0,33450.0,37000.0,163933.0,5846903950.0,118400000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-03,37950.0,37950.0,36000.0,37000.0,74992.0,2774193100.0,118400000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-06,36600.0,41900.0,36500.0,41400.0,144044.0,5707966000.0,132480000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-07,41000.0,43900.0,40400.0,42400.0,86055.0,3648516500.0,135680000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-08,41900.0,42200.0,40200.0,40200.0,41824.0,1723484800.0,128640000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-09,40800.0,43000.0,40800.0,41900.0,51197.0,2135201800.0,134080000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-10,43500.0,44250.0,40450.0,42000.0,58879.0,2449036000.0,134400000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-13,42000.0,42650.0,40300.0,40800.0,48246.0,1978599600.0,130560000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-14,41100.0,43350.0,39900.0,42300.0,81985.0,3413307200.0,135360000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-15,41700.0,46800.0,41550.0,46300.0,96902.0,4331655400.0,148160000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-16,46850.0,48900.0,45100.0,46800.0,56321.0,2636654800.0,149760000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-17,46900.0,47000.0,41550.0,44250.0,67177.0,2990430250.0,141600000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-20,44200.0,44200.0,42000.0,42400.0,37595.0,1601802800.0,135680000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-21,41000.0,43750.0,40700.0,43550.0,50278.0,2113471450.0,139360000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-22,43550.0,44900.0,42600.0,44200.0,33663.0,1473747500.0,141440000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-23,44550.0,45000.0,43050.0,45000.0,30800.0,1361713000.0,144000000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-24,45400.0,45400.0,43300.0,43900.0,22493.0,993252000.0,140480000000.0,3200000,KOSPI,tradable_ohlcv
2009-04-27,44000.0,44300.0,42000.0,42000.0,17720.0,758833500.0,134400000000.0,3200000,KOSPI,tradable_ohlcv
