d,o,h,l,c,v,a,mc,s,m
2012-01-02,9100.0,9130.0,8850.0,8990.0,5963.0,53427160.0,73007520300.0,8120970,KOSDAQ
2012-01-03,8810.0,9200.0,8610.0,9030.0,91154.0,814618240.0,73332359100.0,8120970,KOSDAQ
2012-01-04,9010.0,9150.0,8990.0,9090.0,26677.0,242265250.0,73819617300.0,8120970,KOSDAQ
2012-01-05,9090.0,9200.0,9020.0,9070.0,52433.0,478545430.0,73657197900.0,8120970,KOSDAQ
2012-01-06,9100.0,9240.0,8960.0,9190.0,56058.0,511975800.0,74631714300.0,8120970,KOSDAQ
2012-01-09,9280.0,10550.0,9250.0,9650.0,214632.0,2090722790.0,78367360500.0,8120970,KOSDAQ
2012-01-10,9650.0,9890.0,9450.0,9500.0,77632.0,745437680.0,77149215000.0,8120970,KOSDAQ
2012-01-11,9540.0,9760.0,9450.0,9670.0,71969.0,694567740.0,78529779900.0,8120970,KOSDAQ
2012-01-12,9670.0,9890.0,9460.0,9460.0,35153.0,335263600.0,76824376200.0,8120970,KOSDAQ
2012-01-13,9490.0,9490.0,9320.0,9410.0,23829.0,223477470.0,76418327700.0,8120970,KOSDAQ
2012-01-16,9390.0,9450.0,9280.0,9400.0,14138.0,132843210.0,76337118000.0,8120970,KOSDAQ
2012-01-17,9440.0,10100.0,9440.0,9650.0,429916.0,4244061770.0,78367360500.0,8120970,KOSDAQ
2012-01-18,9650.0,9650.0,9210.0,9240.0,129047.0,1203692570.0,75037762800.0,8120970,KOSDAQ
2012-01-19,9300.0,9400.0,9090.0,9100.0,42618.0,391403020.0,73900827000.0,8120970,KOSDAQ
2012-01-20,9120.0,9340.0,9060.0,9100.0,39814.0,366406720.0,73900827000.0,8120970,KOSDAQ
2012-01-25,9280.0,9290.0,8960.0,9210.0,27657.0,251344340.0,74794133700.0,8120970,KOSDAQ
2012-01-26,9150.0,9250.0,9050.0,9050.0,22464.0,205544270.0,73494778500.0,8120970,KOSDAQ
2012-01-27,9400.0,9400.0,9100.0,9290.0,49749.0,457461360.0,75443811300.0,8120970,KOSDAQ
2012-01-30,9210.0,9990.0,9210.0,9880.0,357584.0,3503677990.0,80235183600.0,8120970,KOSDAQ
2012-01-31,9730.0,9970.0,9640.0,9830.0,117403.0,1152291100.0,79829135100.0,8120970,KOSDAQ
2012-02-01,9800.0,10150.0,9680.0,10100.0,128283.0,1277130100.0,82021797000.0,8120970,KOSDAQ
2012-02-02,10100.0,10450.0,9940.0,9980.0,96731.0,981417010.0,81047280600.0,8120970,KOSDAQ
2012-02-03,10000.0,10100.0,9770.0,9900.0,42010.0,416986670.0,80397603000.0,8120970,KOSDAQ
2012-02-06,9820.0,9990.0,9660.0,9780.0,44283.0,432538300.0,79423086600.0,8120970,KOSDAQ
2012-02-07,9750.0,9990.0,9660.0,9980.0,61304.0,602813720.0,81047280600.0,8120970,KOSDAQ
2012-02-08,10000.0,10050.0,9800.0,9850.0,41047.0,405807510.0,79991554500.0,8120970,KOSDAQ
2012-02-09,9660.0,10150.0,9660.0,9910.0,27122.0,268284150.0,80478812700.0,8120970,KOSDAQ
2012-02-10,10100.0,10100.0,9870.0,10000.0,58242.0,579518080.0,81209700000.0,8120970,KOSDAQ
2012-02-13,9920.0,10050.0,9800.0,9920.0,56080.0,556494030.0,80560022400.0,8120970,KOSDAQ
2012-02-14,9930.0,10000.0,9810.0,10000.0,44372.0,440466340.0,81209700000.0,8120970,KOSDAQ
2012-02-15,10200.0,10800.0,9990.0,10500.0,160229.0,1678035010.0,85270185000.0,8120970,KOSDAQ
