d,o,h,l,c,v,a,mc,s,m
2013-01-02,6140.0,6160.0,6060.0,6150.0,120923.0,739946360.0,101321004000.0,16474960,KOSDAQ
2013-01-03,6150.0,6170.0,5920.0,5980.0,195699.0,1183446400.0,98520260800.0,16474960,KOSDAQ
2013-01-04,5980.0,6080.0,5920.0,5960.0,132365.0,794093120.0,98190761600.0,16474960,KOSDAQ
2013-01-07,5940.0,6180.0,5920.0,6140.0,215285.0,1305835520.0,101156254400.0,16474960,KOSDAQ
2013-01-08,6170.0,6170.0,5980.0,6010.0,172002.0,1037224560.0,99014509600.0,16474960,KOSDAQ
2013-01-09,6000.0,6040.0,5810.0,5820.0,346535.0,2033612210.0,95884267200.0,16474960,KOSDAQ
2013-01-10,5850.0,5880.0,5670.0,5770.0,267699.0,1541021540.0,95060519200.0,16474960,KOSDAQ
2013-01-11,5800.0,5850.0,5720.0,5770.0,155745.0,901857680.0,95060519200.0,16474960,KOSDAQ
2013-01-14,5770.0,5770.0,5470.0,5480.0,280296.0,1565556910.0,90282780800.0,16474960,KOSDAQ
2013-01-15,5420.0,5540.0,5390.0,5500.0,91432.0,500653300.0,90612280000.0,16474960,KOSDAQ
2013-01-16,5490.0,5530.0,5390.0,5460.0,97425.0,532169250.0,89953281600.0,16474960,KOSDAQ
2013-01-17,5340.0,5410.0,5210.0,5240.0,230010.0,1219325900.0,86328790400.0,16474960,KOSDAQ
2013-01-18,5260.0,5400.0,5250.0,5300.0,147777.0,786633310.0,87317288000.0,16474960,KOSDAQ
2013-01-21,5300.0,5380.0,5250.0,5320.0,150769.0,797182190.0,87646787200.0,16474960,KOSDAQ
2013-01-22,5300.0,5330.0,5110.0,5220.0,210308.0,1092900440.0,85999291200.0,16474960,KOSDAQ
2013-01-23,5260.0,5650.0,5260.0,5630.0,548326.0,3025202870.0,92754024800.0,16474960,KOSDAQ
2013-01-24,5630.0,5720.0,5500.0,5510.0,137557.0,766325770.0,90777029600.0,16474960,KOSDAQ
2013-01-25,5600.0,5780.0,5510.0,5730.0,258361.0,1459538340.0,94401520800.0,16474960,KOSDAQ
2013-01-28,5730.0,5860.0,5660.0,5700.0,135412.0,777441320.0,93907272000.0,16474960,KOSDAQ
2013-01-29,5760.0,5770.0,5590.0,5600.0,94066.0,530130980.0,92259776000.0,16474960,KOSDAQ
2013-01-30,5600.0,5650.0,5440.0,5440.0,91081.0,502390890.0,89623782400.0,16474960,KOSDAQ
2013-01-31,5500.0,5680.0,5500.0,5580.0,164293.0,920840790.0,91930276800.0,16474960,KOSDAQ
2013-02-01,5580.0,5940.0,5580.0,5900.0,427775.0,2491734030.0,97202264000.0,16474960,KOSDAQ
2013-02-04,5900.0,5960.0,5840.0,5870.0,140805.0,829118720.0,96708015200.0,16474960,KOSDAQ
2013-02-05,5870.0,6040.0,5800.0,5950.0,232452.0,1385388770.0,98026012000.0,16474960,KOSDAQ
2013-02-06,5920.0,6030.0,5790.0,5890.0,216526.0,1279283460.0,97037514400.0,16474960,KOSDAQ
2013-02-07,5880.0,5910.0,5730.0,5730.0,142562.0,826031950.0,94401520800.0,16474960,KOSDAQ
2013-02-08,5730.0,6000.0,5700.0,5950.0,174138.0,1021342310.0,98026012000.0,16474960,KOSDAQ
2013-02-12,6020.0,6020.0,5860.0,5900.0,120806.0,715976900.0,97202264000.0,16474960,KOSDAQ
2013-02-13,5950.0,6070.0,5870.0,5950.0,194216.0,1164748950.0,98026012000.0,16474960,KOSDAQ
2013-02-14,5970.0,6090.0,5950.0,6040.0,207245.0,1246963140.0,99508758400.0,16474960,KOSDAQ
2013-02-15,6080.0,6340.0,6070.0,6320.0,502640.0,3138176940.0,104121747200.0,16474960,KOSDAQ
2013-02-18,6320.0,6750.0,6260.0,6700.0,580038.0,3780060030.0,110382232000.0,16474960,KOSDAQ
2013-02-19,6750.0,6900.0,6630.0,6740.0,405769.0,2746867630.0,111041230400.0,16474960,KOSDAQ
2013-02-20,6860.0,7080.0,6820.0,7030.0,621749.0,4329030480.0,115818968800.0,16474960,KOSDAQ
2013-02-21,7030.0,7090.0,6900.0,7010.0,338645.0,2364711030.0,115489469600.0,16474960,KOSDAQ
2013-02-22,7110.0,7110.0,6970.0,7080.0,160426.0,1130278360.0,116642716800.0,16474960,KOSDAQ
2013-02-25,7140.0,7150.0,6970.0,6980.0,135868.0,953486950.0,114995220800.0,16474960,KOSDAQ
2013-02-26,6960.0,6990.0,6780.0,6920.0,279950.0,1924609140.0,114006723200.0,16474960,KOSDAQ
2013-02-27,7000.0,7040.0,6900.0,6940.0,217382.0,1515788080.0,114336222400.0,16474960,KOSDAQ
2013-02-28,7010.0,7140.0,6920.0,6990.0,223242.0,1568762300.0,115159970400.0,16474960,KOSDAQ
2013-03-04,7100.0,7120.0,6980.0,7030.0,145395.0,1025863650.0,115818968800.0,16474960,KOSDAQ
2013-03-05,7050.0,7130.0,6930.0,7020.0,183474.0,1286617840.0,115654219200.0,16474960,KOSDAQ
2013-03-06,7110.0,7360.0,6990.0,7250.0,401743.0,2873758350.0,119443460000.0,16474960,KOSDAQ
2013-03-07,7280.0,7460.0,7220.0,7340.0,404250.0,2976478020.0,120926206400.0,16474960,KOSDAQ
2013-03-08,7340.0,7340.0,7130.0,7250.0,145494.0,1053630110.0,119443460000.0,16474960,KOSDAQ
2013-03-11,7260.0,7290.0,7000.0,7090.0,149680.0,1065918850.0,116807466400.0,16474960,KOSDAQ
2013-03-12,7120.0,7230.0,7090.0,7200.0,109027.0,780109250.0,118619712000.0,16474960,KOSDAQ
2013-03-13,7250.0,7250.0,7130.0,7190.0,93436.0,670968270.0,118454962400.0,16474960,KOSDAQ
2013-03-14,7280.0,7300.0,7140.0,7300.0,121046.0,875844440.0,120267208000.0,16474960,KOSDAQ
2013-03-15,7350.0,7370.0,7200.0,7300.0,107217.0,780803600.0,120267208000.0,16474960,KOSDAQ
2013-03-18,7230.0,7250.0,6900.0,7100.0,216965.0,1536720370.0,116972216000.0,16474960,KOSDAQ
2013-03-19,7140.0,7140.0,6930.0,6980.0,178462.0,1249465760.0,114995220800.0,16474960,KOSDAQ
2013-03-20,7000.0,7030.0,6690.0,6710.0,248079.0,1690088430.0,110546981600.0,16474960,KOSDAQ
2013-03-21,6790.0,6820.0,6630.0,6770.0,118709.0,799729910.0,111535479200.0,16474960,KOSDAQ
2013-03-22,6690.0,7020.0,6690.0,7000.0,142400.0,989023890.0,115324720000.0,16474960,KOSDAQ
2013-03-25,7020.0,7140.0,6960.0,6960.0,105992.0,746864640.0,114665721600.0,16474960,KOSDAQ
2013-03-26,6960.0,7090.0,6940.0,6970.0,95642.0,672294720.0,114830471200.0,16474960,KOSDAQ
2013-03-27,7090.0,7090.0,6860.0,7040.0,107761.0,752980800.0,115983718400.0,16474960,KOSDAQ
2013-03-28,7040.0,7070.0,6920.0,7010.0,83194.0,581309730.0,115489469600.0,16474960,KOSDAQ
2013-03-29,6990.0,7150.0,6930.0,7100.0,185818.0,1308923490.0,116972216000.0,16474960,KOSDAQ
2013-04-01,7110.0,7150.0,7050.0,7150.0,91715.0,652161290.0,117795964000.0,16474960,KOSDAQ
2013-04-02,7150.0,7170.0,6940.0,6990.0,205880.0,1446745490.0,115159970400.0,16474960,KOSDAQ
2013-04-03,7020.0,7250.0,6990.0,7240.0,294320.0,2100232200.0,119278710400.0,16474960,KOSDAQ
2013-04-04,7230.0,7480.0,7150.0,7370.0,526032.0,3856838270.0,121420455200.0,16474960,KOSDAQ
2013-04-05,7450.0,7470.0,7240.0,7350.0,264718.0,1951433440.0,121090956000.0,16474960,KOSDAQ
2013-04-08,7360.0,7400.0,6990.0,7050.0,161168.0,1162173860.0,116148468000.0,16474960,KOSDAQ
2013-04-09,6930.0,7130.0,6610.0,7040.0,148599.0,1031241240.0,115983718400.0,16474960,KOSDAQ
2013-04-10,7010.0,7280.0,7010.0,7280.0,138279.0,992596220.0,119937708800.0,16474960,KOSDAQ
2013-04-11,7260.0,7510.0,7260.0,7400.0,282941.0,2095451370.0,121914704000.0,16474960,KOSDAQ
2013-04-12,7440.0,7490.0,7330.0,7370.0,216556.0,1605361810.0,121420455200.0,16474960,KOSDAQ
2013-04-15,7370.0,7780.0,7320.0,7780.0,556752.0,4224753760.0,128175188800.0,16474960,KOSDAQ
2013-04-16,7760.0,7790.0,7560.0,7770.0,360893.0,2774752720.0,128010439200.0,16474960,KOSDAQ
