d,o,h,l,c,v,a,mc,s,m,rs
2018-01-02,3105.0,3190.0,3080.0,3165.0,303459.0,952801775.0,70962477660.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-03,3185.0,3285.0,3150.0,3195.0,483759.0,1556207335.0,71635107780.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-04,3280.0,3570.0,3240.0,3365.0,5481991.0,18957172940.0,75446678460.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-05,3385.0,3390.0,3265.0,3300.0,885195.0,2931631540.0,73989313200.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-08,3340.0,3670.0,3320.0,3670.0,3465323.0,12477411540.0,82285084680.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-09,3985.0,4125.0,3620.0,3700.0,7993074.0,31510709270.0,82957714800.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-10,3730.0,4490.0,3655.0,4145.0,10161453.0,41568375390.0,92935061580.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-11,4010.0,4270.0,3705.0,3855.0,4720547.0,18954380985.0,86432970420.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-12,3855.0,3985.0,3500.0,3590.0,2297068.0,8553256215.0,80491404360.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-15,3605.0,3745.0,3555.0,3640.0,1536639.0,5630300610.0,81612454560.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-16,3585.0,3615.0,3425.0,3445.0,1204788.0,4184087510.0,77240358780.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-17,3390.0,3555.0,3280.0,3400.0,1557719.0,5321843920.0,76231413600.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-18,3450.0,3485.0,3360.0,3360.0,620698.0,2122974855.0,75334573440.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-19,3390.0,3725.0,3340.0,3615.0,3964739.0,14233860655.0,81051929460.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-22,3615.0,3670.0,3545.0,3630.0,629306.0,2270913880.0,81388244520.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-23,3665.0,3720.0,3570.0,3575.0,857299.0,3124429395.0,80155089300.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-24,3615.0,3650.0,3485.0,3525.0,668945.0,2390264800.0,79034039100.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-25,3565.0,3675.0,3505.0,3665.0,895020.0,3234723865.0,82172979660.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-26,3830.0,3920.0,3700.0,3705.0,2099145.0,7975051035.0,83069819820.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-29,3705.0,3760.0,3620.0,3720.0,661900.0,2438517215.0,83406134880.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-30,3770.0,4310.0,3730.0,4195.0,7811750.0,31511789185.0,94056111780.0,22421004,KOSDAQ,tradable_ohlcv
2018-01-31,4145.0,5350.0,3980.0,5030.0,24450758.0,117130728690.0,112777650120.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-01,4985.0,5470.0,4840.0,5060.0,11326574.0,58336399450.0,113450280240.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-02,4990.0,5920.0,4860.0,5060.0,17167038.0,93032841375.0,113450280240.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-05,5220.0,5740.0,5000.0,5410.0,10064018.0,54144026460.0,121297631640.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-06,5060.0,5120.0,4520.0,4840.0,3743672.0,18185140350.0,108517659360.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-07,5050.0,5200.0,4320.0,4320.0,2892958.0,13872182255.0,96858737280.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-08,4320.0,4585.0,4200.0,4480.0,1492583.0,6615887650.0,100446097920.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-09,4320.0,4475.0,4120.0,4130.0,1199657.0,5101373985.0,92598746520.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-12,4200.0,4355.0,4135.0,4145.0,923033.0,3917337120.0,92935061580.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-13,4160.0,4475.0,4030.0,4040.0,2008495.0,8579445350.0,90580856160.0,22421004,KOSDAQ,tradable_ohlcv
2018-02-14,4090.0,4175.0,4065.0,4130.0,566055.0,2330823915.0,92598746520.0,22421004,KOSDAQ,tradable_ohlcv
