d,o,h,l,c,v,a,mc,s,m,rs
2017-01-02,37300.0,37350.0,37050.0,37300.0,196.0,7298300.0,17904000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-03,37300.0,38200.0,36800.0,37300.0,508.0,19188950.0,17904000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-04,38300.0,38300.0,37350.0,37850.0,234.0,8830450.0,18168000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-05,38450.0,38450.0,38350.0,38450.0,92.0,3533750.0,18456000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-06,40000.0,40000.0,38200.0,38450.0,242.0,9355050.0,18456000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-09,38450.0,38450.0,38300.0,38300.0,332.0,12730700.0,18384000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-10,38500.0,38500.0,37600.0,38050.0,402.0,15239650.0,18264000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-11,38950.0,38950.0,37900.0,38400.0,170.0,6483050.0,18432000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-12,38500.0,40000.0,38500.0,39150.0,705.0,27570750.0,18792000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-13,39300.0,40400.0,38500.0,38500.0,1198.0,46748200.0,18480000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-16,38500.0,40000.0,38500.0,39300.0,513.0,20228050.0,18864000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-17,39300.0,41900.0,39300.0,40700.0,3243.0,131870650.0,19536000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-18,40700.0,41600.0,39500.0,39650.0,478.0,19152500.0,19032000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-19,40800.0,41550.0,39700.0,40700.0,808.0,32580150.0,19536000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-20,40700.0,43100.0,40100.0,42850.0,3788.0,158670100.0,20568000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-23,43150.0,55700.0,43150.0,47950.0,134951.0,7080227600.0,23016000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-24,47550.0,48250.0,43200.0,44600.0,23236.0,1045706050.0,21408000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-25,46000.0,54000.0,43550.0,44750.0,89089.0,4378701150.0,21480000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-26,46000.0,50500.0,45150.0,49550.0,35205.0,1694762000.0,23784000000.0,480000,KOSDAQ,tradable_ohlcv
2017-01-31,51400.0,54100.0,46500.0,47900.0,24377.0,1193387800.0,22992000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-01,47450.0,48900.0,44100.0,44200.0,21121.0,952267700.0,21216000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-02,43100.0,43100.0,40750.0,41350.0,17089.0,710630550.0,19848000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-03,41350.0,41750.0,39650.0,40700.0,9723.0,394881900.0,19536000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-06,40750.0,42200.0,40400.0,41150.0,5500.0,226737100.0,19752000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-07,41700.0,43600.0,40800.0,43300.0,7880.0,331708000.0,20784000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-08,43400.0,44200.0,42300.0,43300.0,3714.0,159596800.0,20784000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-09,43900.0,44000.0,41850.0,42600.0,3596.0,152850000.0,20448000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-10,42800.0,43650.0,42350.0,43000.0,2773.0,119199150.0,20640000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-13,43500.0,43500.0,42150.0,42700.0,1316.0,55939150.0,20496000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-14,42700.0,44350.0,42500.0,43200.0,2039.0,88238150.0,20736000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-15,43300.0,44300.0,42800.0,43700.0,1260.0,54736550.0,20976000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-16,43750.0,44150.0,42600.0,43200.0,801.0,34562450.0,20736000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-17,42500.0,43750.0,42050.0,42050.0,1134.0,48134100.0,20184000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-20,42900.0,42900.0,41200.0,41950.0,556.0,23256600.0,20136000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-21,42900.0,42900.0,41250.0,42400.0,445.0,18562000.0,20352000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-22,41700.0,42350.0,40800.0,40800.0,1453.0,59889950.0,19584000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-23,40500.0,42300.0,40250.0,40600.0,2375.0,96997900.0,19488000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-24,40600.0,41500.0,39900.0,39900.0,3159.0,127461050.0,19152000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-27,40100.0,40850.0,39550.0,40300.0,457.0,18343100.0,19344000000.0,480000,KOSDAQ,tradable_ohlcv
2017-02-28,39850.0,41300.0,39500.0,40550.0,1005.0,40229950.0,19464000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-02,40600.0,41600.0,40400.0,41150.0,709.0,28968850.0,19752000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-03,41150.0,41650.0,40450.0,41000.0,833.0,33996700.0,19680000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-06,41450.0,41450.0,39950.0,40900.0,1230.0,49442800.0,19632000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-07,40900.0,41500.0,40000.0,40600.0,941.0,38018750.0,19488000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-08,41300.0,41300.0,39050.0,40000.0,1990.0,78974100.0,19200000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-09,40000.0,40000.0,39250.0,39500.0,354.0,14027500.0,18960000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-10,39600.0,39900.0,38050.0,39800.0,1723.0,66949000.0,19104000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-13,39800.0,40000.0,38800.0,39550.0,548.0,21432150.0,18984000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-14,39900.0,39900.0,39050.0,39350.0,1264.0,49581700.0,18888000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-15,39000.0,40400.0,39000.0,40150.0,1000.0,39784050.0,19272000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-16,40400.0,40400.0,39300.0,40000.0,270.0,10686500.0,19200000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-17,40000.0,40850.0,39700.0,39950.0,224.0,8974000.0,19176000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-20,39450.0,39950.0,38700.0,39500.0,553.0,21697250.0,18960000000.0,480000,KOSDAQ,tradable_ohlcv
2017-03-21,39300.0,39450.0,38550.0,39000.0,957.0,37218550.0,18720000000.0,480000,KOSDAQ,tradable_ohlcv
