d,o,h,l,c,v,a,mc,s,m,rs
2004-01-02,0.0,0.0,0.0,20950.0,0.0,0.0,4512315750.0,215385,KOSPI,non_tradable_zero_volume
2004-01-05,20750.0,20750.0,20700.0,20700.0,80.0,1657000.0,4458469500.0,215385,KOSPI,tradable_ohlcv
2004-01-06,20500.0,20500.0,20500.0,20500.0,330.0,6765000.0,4415392500.0,215385,KOSPI,tradable_ohlcv
2004-01-07,20400.0,20900.0,20400.0,20900.0,210.0,4384000.0,4501546500.0,215385,KOSPI,tradable_ohlcv
2004-01-08,20900.0,20950.0,20900.0,20950.0,100.0,2094500.0,4512315750.0,215385,KOSPI,tradable_ohlcv
2004-01-09,20500.0,20500.0,20400.0,20400.0,70.0,1430000.0,4393854000.0,215385,KOSPI,tradable_ohlcv
2004-01-12,20000.0,20400.0,20000.0,20400.0,540.0,10980000.0,4393854000.0,215385,KOSPI,tradable_ohlcv
2004-01-13,0.0,0.0,0.0,20400.0,0.0,0.0,4393854000.0,215385,KOSPI,non_tradable_zero_volume
2004-01-14,20400.0,21450.0,20100.0,20100.0,270.0,5515500.0,4329238500.0,215385,KOSPI,tradable_ohlcv
2004-01-15,21200.0,21200.0,21200.0,21200.0,10.0,212000.0,4566162000.0,215385,KOSPI,tradable_ohlcv
2004-01-16,20100.0,20100.0,20100.0,20100.0,90.0,1809000.0,4329238500.0,215385,KOSPI,tradable_ohlcv
2004-01-19,20200.0,20550.0,20100.0,20450.0,190.0,3843500.0,4404623250.0,215385,KOSPI,tradable_ohlcv
2004-01-20,20450.0,20450.0,20450.0,20450.0,10.0,204500.0,4404623250.0,215385,KOSPI,tradable_ohlcv
2004-01-26,0.0,0.0,0.0,20450.0,0.0,0.0,4404623250.0,215385,KOSPI,non_tradable_zero_volume
2004-01-27,0.0,0.0,0.0,20450.0,0.0,0.0,4404623250.0,215385,KOSPI,non_tradable_zero_volume
2004-01-28,0.0,0.0,0.0,20450.0,0.0,0.0,4404623250.0,215385,KOSPI,non_tradable_zero_volume
2004-01-29,21900.0,21900.0,21900.0,21900.0,10.0,219000.0,4716931500.0,215385,KOSPI,tradable_ohlcv
2004-01-30,0.0,0.0,0.0,21550.0,0.0,0.0,4641546750.0,215385,KOSPI,non_tradable_zero_volume
