d,o,h,l,c,v,a,mc,s,m
2001-11-15,6030.0,6030.0,6030.0,6030.0,1028942.0,6204520260.0,79277013000.0,13147100,KOSDAQ
2001-11-16,5730.0,6750.0,5700.0,6750.0,3432772.0,22445795870.0,88742925000.0,13147100,KOSDAQ
2001-11-19,6990.0,7180.0,6060.0,6250.0,1755101.0,11638946670.0,82169375000.0,13147100,KOSDAQ
2001-11-20,6300.0,6610.0,6020.0,6350.0,1258215.0,7885670020.0,83484085000.0,13147100,KOSDAQ
2001-11-21,6440.0,6670.0,6050.0,6080.0,976999.0,6207685430.0,79934368000.0,13147100,KOSDAQ
2001-11-22,5910.0,6050.0,5550.0,5680.0,1009708.0,5760509180.0,74675528000.0,13147100,KOSDAQ
2001-11-23,5850.0,5980.0,5580.0,5730.0,1161568.0,6787371970.0,75332883000.0,13147100,KOSDAQ
2001-11-26,5730.0,5830.0,5450.0,5480.0,794216.0,4456770860.0,72046108000.0,13147100,KOSDAQ
2001-11-27,5380.0,5600.0,5120.0,5210.0,568131.0,3007667860.0,68496391000.0,13147100,KOSDAQ
2001-11-28,5160.0,5750.0,5130.0,5300.0,1084416.0,5916956310.0,69679630000.0,13147100,KOSDAQ
2001-11-29,5330.0,5650.0,5220.0,5600.0,862404.0,4733031010.0,73623760000.0,13147100,KOSDAQ
2001-11-30,5690.0,5700.0,5280.0,5290.0,714394.0,3897629860.0,69548159000.0,13147100,KOSDAQ
2001-12-03,5330.0,5740.0,5300.0,5550.0,1089730.0,6077815140.0,72966405000.0,13147100,KOSDAQ
2001-12-04,5550.0,5760.0,5500.0,5580.0,540414.0,3035708740.0,73360818000.0,13147100,KOSDAQ
2001-12-05,5600.0,5880.0,5570.0,5700.0,896214.0,5152288650.0,74938470000.0,13147100,KOSDAQ
2001-12-06,5800.0,6190.0,5750.0,5850.0,1105878.0,6566867190.0,76910535000.0,13147100,KOSDAQ
2001-12-07,5810.0,5880.0,5510.0,5630.0,478572.0,2722683010.0,74018173000.0,13147100,KOSDAQ
2001-12-10,5700.0,5700.0,5430.0,5600.0,415579.0,2300893990.0,73623760000.0,13147100,KOSDAQ
2001-12-11,5610.0,6270.0,5600.0,6030.0,1259986.0,7485755960.0,79277013000.0,13147100,KOSDAQ
2001-12-12,6090.0,6170.0,5770.0,5800.0,533656.0,3162565770.0,76253180000.0,13147100,KOSDAQ
2001-12-13,5820.0,5900.0,5580.0,5670.0,301892.0,1724929430.0,74544057000.0,13147100,KOSDAQ
2001-12-14,5630.0,5640.0,5530.0,5550.0,253086.0,1411023710.0,72966405000.0,13147100,KOSDAQ
2001-12-17,5550.0,5600.0,5050.0,5050.0,434825.0,2295045160.0,66392855000.0,13147100,KOSDAQ
2001-12-18,5160.0,5230.0,4600.0,4600.0,685744.0,3440449090.0,60476660000.0,13147100,KOSDAQ
2001-12-19,4800.0,4800.0,4110.0,4220.0,546829.0,2381588470.0,55480762000.0,13147100,KOSDAQ
2001-12-20,4180.0,4440.0,4010.0,4250.0,687442.0,2927836270.0,55875175000.0,13147100,KOSDAQ
2001-12-21,4110.0,4350.0,4110.0,4170.0,510749.0,2171153560.0,54823407000.0,13147100,KOSDAQ
2001-12-24,4200.0,4220.0,3670.0,3700.0,690486.0,2744468750.0,48644270000.0,13147100,KOSDAQ
2001-12-26,3700.0,3870.0,3600.0,3800.0,426085.0,1610369290.0,49958980000.0,13147100,KOSDAQ
2001-12-27,3810.0,4200.0,3760.0,4190.0,549102.0,2217491090.0,55086349000.0,13147100,KOSDAQ
2001-12-28,4200.0,4530.0,4100.0,4370.0,541201.0,2322161670.0,57452827000.0,13147100,KOSDAQ
